_id,metric_name,report_group,calendar_year,kpi_count,geo_area_name,population_name,acs_5_yr_est,kpi_population
559714,Overdoses,Community Trends,2017,,Aleppo,Total Population,,1849
559715,Overdoses,Community Trends,2018,,Aleppo,Total Population,,1849
559716,Overdoses,Community Trends,2019,,Aleppo,Total Population,,1849
559717,Overdoses,Community Trends,2020,,Aleppo,Total Population,,1849
559718,Overdoses,Community Trends,2021,,Aleppo,Total Population,,1849
559719,Overdoses,Community Trends,2022,,Aleppo,Total Population,,1849
559720,Overdoses,Community Trends,2017,,Aspinwall,Total Population,,2874
559721,Overdoses,Community Trends,2018,,Aspinwall,Total Population,,2874
559722,Overdoses,Community Trends,2019,,Aspinwall,Total Population,,2874
559723,Overdoses,Community Trends,2020,,Aspinwall,Total Population,,2874
559724,Overdoses,Community Trends,2021,,Aspinwall,Total Population,,2874
559725,Overdoses,Community Trends,2022,,Aspinwall,Total Population,,2874
559726,Overdoses,Community Trends,2017,,Avalon,Total Population,,4826
559727,Overdoses,Community Trends,2018,,Avalon,Total Population,,4826
559728,Overdoses,Community Trends,2019,,Avalon,Total Population,,4826
559729,Overdoses,Community Trends,2020,,Avalon,Total Population,,4826
559730,Overdoses,Community Trends,2021,,Avalon,Total Population,,4826
559731,Overdoses,Community Trends,2022,,Avalon,Total Population,,4826
559732,Overdoses,Community Trends,2017,14,Baldwin Borough,Total Population,,20349
559733,Overdoses,Community Trends,2018,8,Baldwin Borough,Total Population,,20349
559734,Overdoses,Community Trends,2019,11,Baldwin Borough,Total Population,,20349
559735,Overdoses,Community Trends,2020,,Baldwin Borough,Total Population,,20349
559736,Overdoses,Community Trends,2021,7,Baldwin Borough,Total Population,,20349
559737,Overdoses,Community Trends,2022,,Baldwin Borough,Total Population,,20349
559738,Overdoses,Community Trends,2017,,Baldwin Township,Total Population,,2114
559739,Overdoses,Community Trends,2018,,Baldwin Township,Total Population,,2114
559740,Overdoses,Community Trends,2019,,Baldwin Township,Total Population,,2114
559741,Overdoses,Community Trends,2020,,Baldwin Township,Total Population,,2114
559742,Overdoses,Community Trends,2021,,Baldwin Township,Total Population,,2114
559743,Overdoses,Community Trends,2022,,Baldwin Township,Total Population,,2114
559744,Overdoses,Community Trends,2017,,Bell Acres,Total Population,,1476
559745,Overdoses,Community Trends,2018,,Bell Acres,Total Population,,1476
559746,Overdoses,Community Trends,2019,,Bell Acres,Total Population,,1476
559747,Overdoses,Community Trends,2020,,Bell Acres,Total Population,,1476
559748,Overdoses,Community Trends,2021,,Bell Acres,Total Population,,1476
559749,Overdoses,Community Trends,2022,,Bell Acres,Total Population,,1476
559750,Overdoses,Community Trends,2017,,Bellevue,Total Population,,8421
559751,Overdoses,Community Trends,2018,,Bellevue,Total Population,,8421
559752,Overdoses,Community Trends,2019,11,Bellevue,Total Population,,8421
559753,Overdoses,Community Trends,2020,6,Bellevue,Total Population,,8421
559754,Overdoses,Community Trends,2021,6,Bellevue,Total Population,,8421
559755,Overdoses,Community Trends,2022,,Bellevue,Total Population,,8421
559756,Overdoses,Community Trends,2017,,Ben Avon,Total Population,,1931
559757,Overdoses,Community Trends,2018,,Ben Avon,Total Population,,1931
559758,Overdoses,Community Trends,2019,,Ben Avon,Total Population,,1931
559759,Overdoses,Community Trends,2020,,Ben Avon,Total Population,,1931
559760,Overdoses,Community Trends,2021,,Ben Avon,Total Population,,1931
559761,Overdoses,Community Trends,2022,,Ben Avon,Total Population,,1931
559762,Overdoses,Community Trends,2017,,Ben Avon Heights,Total Population,,354
559763,Overdoses,Community Trends,2018,,Ben Avon Heights,Total Population,,354
559764,Overdoses,Community Trends,2019,,Ben Avon Heights,Total Population,,354
559765,Overdoses,Community Trends,2020,,Ben Avon Heights,Total Population,,354
559766,Overdoses,Community Trends,2021,,Ben Avon Heights,Total Population,,354
559767,Overdoses,Community Trends,2022,,Ben Avon Heights,Total Population,,354
559768,Overdoses,Community Trends,2017,12,Bethel Park,Total Population,,33162
559769,Overdoses,Community Trends,2018,6,Bethel Park,Total Population,,33162
559770,Overdoses,Community Trends,2019,6,Bethel Park,Total Population,,33162
559771,Overdoses,Community Trends,2020,8,Bethel Park,Total Population,,33162
559772,Overdoses,Community Trends,2021,6,Bethel Park,Total Population,,33162
559773,Overdoses,Community Trends,2022,6,Bethel Park,Total Population,,33162
559774,Overdoses,Community Trends,2017,,Blawnox,Total Population,,1585
559775,Overdoses,Community Trends,2018,,Blawnox,Total Population,,1585
559776,Overdoses,Community Trends,2019,,Blawnox,Total Population,,1585
559777,Overdoses,Community Trends,2020,6,Blawnox,Total Population,,1585
559778,Overdoses,Community Trends,2021,,Blawnox,Total Population,,1585
559779,Overdoses,Community Trends,2022,,Blawnox,Total Population,,1585
559780,Overdoses,Community Trends,2017,,Brackenridge,Total Population,,3315
559781,Overdoses,Community Trends,2018,,Brackenridge,Total Population,,3315
559782,Overdoses,Community Trends,2019,,Brackenridge,Total Population,,3315
559783,Overdoses,Community Trends,2020,,Brackenridge,Total Population,,3315
