Vocabulary,Category
Wife,Feminine
Princess,Feminine
Bridesmaid,Feminine
Pregnant,Feminine
Bride,Feminine
Grandmother,Feminine
Aunt,Feminine
Mother,Feminine
Bikini,Feminine
Daughter,Feminine
Dress,Feminine
Queen,Feminine
Sister,Feminine
Sorority,Feminine
Pantyhose,Feminine
Nun,Feminine
Lingerie,Feminine
Ovulate,Feminine
Maiden,Feminine
Menstruation,Feminine
Lipstick,Feminine
Mascara,Feminine
Niece,Feminine
Heiress,Feminine
Barbie,Feminine
Maternal,Feminine
Garter,Feminine
Estrogen,Feminine
Mistress,Feminine
Ballerina,Feminine
Cosmetic,Feminine
Damsel,Feminine
Doll,Feminine
Makeup,Feminine
Gown,Feminine
Duchess,Feminine
Dollhouse,Feminine
Skirt,Feminine
Stewardess,Feminine
Bitch,Feminine
Prostitute,Feminine
Ponytail,Feminine
Pink,Feminine
Nanny,Feminine
Manicure,Feminine
Blouse,Feminine
Perfume,Feminine
Ballet,Feminine
Pretty,Feminine
Beautiful,Feminine
Bouquet,Feminine
Necklace,Feminine
Petite,Feminine
Earrings,Feminine
Witches,Feminine
Fairy,Feminine
Corset,Feminine
Voluptuous,Feminine
Bonnet,Feminine
Pedicure,Feminine
Flowers,Feminine
Purse,Feminine
Blossom,Feminine
Anorexia,Feminine
Barrette,Feminine
Secretary,Feminine
Knitting,Feminine
Babysitter,Feminine
Corsage,Feminine
Nurse,Feminine
Bracelet,Feminine
Virginal,Feminine
Librarian,Feminine
Needlepoint,Feminine
Rose,Feminine
Housekeeper,Feminine
Sewing,Feminine
Gossip,Feminine
Quilting,Feminine
Flirtatious,Feminine
Sensitive,Feminine
Rainbow,Feminine
Diet,Feminine
Silk,Feminine
Romantic,Feminine
Bunny,Feminine
Kitten,Feminine
Hopscotch,Feminine
Teacher,Feminine
Sweet,Feminine
Thin,Feminine
Housework,Feminine
Sentimental,Feminine
Love,Feminine
Jumprope,Feminine
Emotional,Feminine
Dance,Feminine
Innocent,Feminine
Hemming,Feminine
Caring,Feminine
Cooking,Feminine
Cry,Feminine
Gentle,Feminine
Nagging,Feminine
Sympathetic,Feminine
Laundry,Feminine
Garden,Feminine
Skinny,Feminine
Supportive,Feminine
Springtime,Feminine
Tango,Feminine
Desire,Feminine
Heaven,Feminine
Champagne,Feminine
Grocery,Feminine
Patient,Feminine
Star,Feminine
Understanding,Feminine
Oven,Feminine
Pleasing,Neutral
Trend,Neutral
Faithful,Neutral
Insecure,Neutral
Hope,Neutral
Fruit,Neutral
Passive,Neutral
Beach,Neutral
Wine,Neutral
Stove,Neutral
Color,Neutral
Eggs,Neutral
Share,Neutral
Spirit,Neutral
Island,Neutral
Warm,Neutral
Masquerade,Neutral
Broom,Neutral
Earth,Neutral
Grapefruit,Neutral
Gold,Neutral
Apple,Neutral
Shoes,Neutral
Bird,Neutral
Fine,Neutral
Acetone,Neutral
Happy,Neutral
Thanks,Neutral
Season,Neutral
Ethical,Neutral
Child,Neutral
Gallery,Neutral
Dependent,Neutral
Bumblebee,Neutral
Ripening,Neutral
Cotton,Neutral
Ramble,Neutral
Cordial,Neutral
Refine,Neutral
Butter,Neutral
Balloon,Neutral
Goose,Neutral
Moon,Neutral
Letter,Neutral
Fickle,Neutral
Parent,Neutral
Bag,Neutral
Piano,Neutral
Ocean,Neutral
Moderation,Neutral
Call,Neutral
Esteem,Neutral
Alone,Neutral
Decelerate,Neutral
Rain,Neutral
Water,Neutral
Market,Neutral
Articulate,Neutral
Modern,Neutral
Ideal,Neutral
Music,Neutral
Lake,Neutral
Maple,Neutral
Flip,Neutral
Impeccable,Neutral
Mouse,Neutral
Fabled,Neutral
Camera,Neutral
Sand,Neutral
Oxygen,Neutral
Mind,Neutral
Unison,Neutral
Aspirin,Neutral
Triangle,Neutral
Village,Neutral
