PARID,Address,Lat,Lon
0034J00179000000,545 LA ROSE ST PITTSBURGH PA 15226,40.4468094,-79.9504504
0023G00344000000,1620 SANDUSKY CT PITTSBURGH PA 15212,40.4468094,-79.9504504
0160F00205000000,25 S STARR AVE PITTSBURGH PA 15202,40.4419222,-79.983668
0113G00087000000,197 SHILOH AVE PITTSBURGH PA 15202,40.44144033,-79.98479767
0160D00276000000,504 ORCHARD AVE PITTSBURGH PA 15202,40.44311141,-79.9856847
0160G00022000000,481 DAWSON AVE PITTSBURGH PA 15202,40.4468094,-79.9504504
0160L00176000000,527 MONROE AVE PITTSBURGH PA 15202,40.44620273,-79.98234087
0160L00180000100,0 MONROE AVE PITTSBURGH PA 15202,40.44513321,-79.98293436
0160C00280000000,633 ORCHARD AVE PITTSBURGH PA 15202,40.443131,-79.986345
0160R00165000000,440 JEFFERSON AVE PITTSBURGH PA 15202,40.445283,-79.985076
0160M00186000000,18 N FREMONT AVE PITTSBURGH PA 15202,40.44501177,-79.98517246
0160S00124000000,36 S HARRISON AVE PITTSBURGH PA 15202,40.442383,-79.982607
0114E00216000000,37 WASHINGTON AVE PITTSBURGH PA 15202,40.45130575,-79.95052374
0160R00014000000,50 S FREMONT AVE PITTSBURGH PA 15202,40.45066591,-79.94994772
0160R00060000000,72 S FREMONT AVE PITTSBURGH PA 15202,40.45024772,-79.9495342
0160G00234000000,25 HAWLEY AVE PITTSBURGH PA 15202,40.44132597,-79.98610235
0307K00020000000,523 SINCLAIR ST MC KEESPORT PA 15132,40.442313,-79.985732
0102D00065000000,101 GOVERNORS LN CARNEGIE PA 15106,40.44107955,-79.9856405
0191P00056000000,957 BOCKSTOCE AVE PITTSBURGH PA 15234,40.44588188,-79.98365556
0251M00100000000,900 VERMONT AVE PITTSBURGH PA 15234,40.4487182,-79.95053659
0176M00056000002,177 PENNWOOD AVE PITTSBURGH PA 15218,40.4492128,-79.9505746
0063H00324000000,1505 EDGEHILL AVE PITTSBURGH PA 15216,40.43849267,-79.95310447
0069M00083000000,25 E CRAFTON AVE PITTSBURGH PA 15205,40.43857993,-79.95191511
0177D00200000000,139 EDGEWOOD AVE PITTSBURGH PA 15218,40.4397231,-79.9704977
0177D00204000000,131 EDGEWOOD AVE PITTSBURGH PA 15218,40.43680008,-79.9661026
0213B00112000000,89 LOWRY ST PITTSBURGH PA 15202,40.4377824,-79.9716883
0213C00190000000,5 MEMORIAL DR PITTSBURGH PA 15202,40.4377824,-79.9716883
0299J00042000000,1645 ARDMORE BLVD PITTSBURGH PA 15221,40.4377824,-79.9716883
0299J00050000000,1635 ARDMORE BLVD PITTSBURGH PA 15221,40.4377824,-79.9716883
0373J00050000000,100 PARK RIDGE PL PITTSBURGH PA 15221,40.43518,-79.95312
0363P00340000000,300 RIVERFRONT ST OAKMONT PA 15139,40.44292086,-79.96981787
0232M00350000001,1027 FINDLEY DR PITTSBURGH PA 15221,40.44481133,-79.97801833
0176F00284000000,555 TRENTON SQ PITTSBURGH PA 15221,40.44041398,-79.96892651
0350M00183000000,153 SCHWITTER AVE PITTSBURGH PA 15229,40.44955222,-79.97543459
0232M00130000000,1800 CLARK ST PITTSBURGH PA 15221,40.45269864,-79.95264833
0235B00360000000,2522 COLUMBIA AVE PITTSBURGH PA 15218,40.45281072,-79.95271789
0235F00122000000,2515 MILLIGAN WAY PITTSBURGH PA 15218,40.441154,-79.9701933
0297J00240000000,1029 FINDLEY DR PITTSBURGH PA 15221,40.4540811,-79.93464255
0297J00260000000,1036 FINDLEY DR PITTSBURGH PA 15221,40.4536823,-79.93528632
0297N00065000000,1010 FINDLEY DR W PITTSBURGH PA 15221,40.4548202,-79.9328275
