PARID,Address,Lat,Lon
0029G00251000000,3227 DAWSON ST PITTSBURGH PA 15213,40.43165964,-79.95390991
0029G00267000000,3232 DAWSON ST PITTSBURGH PA 15213,40.4382081,-79.9519543
0029G00268000000,3230 DAWSON ST PITTSBURGH PA 15213,40.4382081,-79.9519543
0029D00076000000,3341 PARKVIEW AVE PITTSBURGH PA 15213,40.43273909,-79.95267898
0029G00284000000,3208 DAWSON ST PITTSBURGH PA 15213,40.4382081,-79.9519543
0029G00285000000,3206 DAWSON ST PITTSBURGH PA 15213,40.4382081,-79.9519543
0028L00270000000,3604 BATES ST PITTSBURGH PA 15213,40.437223,-79.954705
0028S00106000000,3433 PARKVIEW AVE PITTSBURGH PA 15213,40.43489415,-79.95217246
0027B00144000000,0 ANAHEIM ST PITTSBURGH PA 15219,40.4519967,-79.9606193
0051S00325000000,5440 ELLSWORTH AVE PITTSBURGH PA 15232,40.4532635,-79.9352324
0051S00327000000,5436 ELLSWORTH AVE PITTSBURGH PA 15232,40.45328738,-79.93539388
0051S00084000000,520 IVY ST PITTSBURGH PA 15232,40.4549989,-79.93412338
0084J00064000000,636 MARYLAND AVE PITTSBURGH PA 15232,40.455285,-79.930419
0084L00106000000,6326 MARCHAND ST PITTSBURGH PA 15206,40.4565946,-79.92098201
0026D00299000000,414 CEDARVILLE ST PITTSBURGH PA 15224,40.45983437,-79.95051801
0084J00305000000,5817 ALDER ST PITTSBURGH PA 15232,40.45579067,-79.92986444
0084K00260000000,316 S HIGHLAND AVE PITTSBURGH PA 15206,40.45657293,-79.92534685
0084N00244000000,640 MARYLAND AVE PITTSBURGH PA 15232,40.45512802,-79.93032764
0085A00019000000,5531 HOWE ST PITTSBURGH PA 15232,40.45053895,-79.93282981
0084R00176000000,6209 KENTUCKY AVE PITTSBURGH PA 15206,40.4536063,-79.92243885
0084R00177000000,6211 KENTUCKY AVE PITTSBURGH PA 15206,40.45365065,-79.92232597
0051C00259000000,307 S AIKEN AVE PITTSBURGH PA 15232,40.46163755,-79.93756313
0051D00083000000,307 S GRAHAM ST PITTSBURGH PA 15232,40.46150201,-79.93624139
0026H00271000000,4709 LORIGAN ST PITTSBURGH PA 15224,40.45900704,-79.95191241
0084A00104000000,310 AMBER ST PITTSBURGH PA 15206,40.4601288,-79.93166147
0084E00022000000,322 AMBER ST PITTSBURGH PA 15206,40.4597929,-79.931994
0084A00200000000,211 AMBER ST PITTSBURGH PA 15206,40.46209481,-79.93047973
0084A00212000000,241 AMBER ST PITTSBURGH PA 15206,40.46153545,-79.93056228
0051F00038000000,520 S WINEBIDDLE ST PITTSBURGH PA 15224,40.45820005,-79.94440745
0050N00004000000,134 PEARL ST PITTSBURGH PA 15224,40.464633,-79.94843625
0080C00008000000,5159 CARNEGIE ST PITTSBURGH PA 15201,40.4790145,-79.95423241
0080D00039000A00,5214 DRESDEN WAY PITTSBURGH PA 15201,40.48047511,-79.95363489
0049R00206000000,4058 HOWLEY ST PITTSBURGH PA 15224,40.46389398,-79.95509448
