_id,geoid,quarter,ams_bus,ams_oth,ams_res,avg_ns_bus,avg_ns_oth,avg_ns_res,avg_vac_b,avg_vac_o,avg_vac_r,bus_vac,nostat_bus,nostat_oth,nostat_res,ns_12_24_b,ns_12_24_o,ns_12_24_r,ns_24_36_b,ns_24_36_o,ns_24_36_r,ns_36_bus,ns_36_oth,ns_36_res,ns_3_6_bus,ns_3_6_oth,ns_3_6_res,ns_3_bus,ns_3_oth,ns_3_res,ns_6_12_b,ns_6_12_o,ns_6_12_r,oth_vac,pqns_is_b,pqns_is_o,pqns_is_r,pqv_is_bus,pqv_is_oth,pqv_is_res,pqv_ns_bus,pqv_ns_oth,pqv_ns_res,res_vac,vac_12_24b,vac_12_24o,vac_12_24r,vac_24_36b,vac_24_36o,vac_24_36r,vac_36_bus,vac_36_oth,vac_36_res,vac_3_6_b,vac_3_6_o,vac_3_6_r,vac_3_bus,vac_3_oth,vac_3_res,vac_6_12b,vac_6_12o,vac_6_12r,total_address_count,total_avg_vac,total_no_stat,total_pqv_pqns_is,total_vac_count,new_addr_r,new_addr_b,new_addr_o,drop_add_r,drop_add_b,drop_add_o
112631,42125722700,20-Dec,59,71,1559,3047.38,0,2192.27,0,0,0,0,24,0,196,2,0,56,3,0,10,19,0,111,0,0,10,0,0,1,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,220,2,0,,,,,,
112632,42007605001,20-Dec,20,22,1129,3601.71,0,2738.64,0,0,0,0,7,0,128,0,0,26,0,0,1,6,0,87,0,0,3,0,0,0,1,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,0,135,2,0,,,,,,
112633,42007603801,20-Dec,128,0,1452,3331,0,2882.3,4674.25,0,2010.92,51,6,0,63,0,0,3,0,0,0,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0,1,50,0,12,1,0,0,0,0,2,0,0,8,1580,6685,69,0,76,,,,,,
112634,42129806100,20-Dec,70,17,1147,2525.25,0,2731.6,0,0,244,0,16,0,117,0,0,13,3,0,8,11,0,85,0,0,3,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1234,244,133,0,3,,,,,,
112635,42003455000,20-Dec,54,28,700,3562.6,0,3612.56,1986.88,0,2002.84,8,5,0,32,0,0,0,0,0,1,5,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,1,0,4,0,0,1,7,0,14,0,0,0,0,0,1,0,0,5,782,3989,37,1,33,,,,,,
112636,42007605400,20-Dec,428,187,2402,2937.16,0,2538.02,3034.88,0,1900.96,17,132,0,569,5,0,5,4,0,141,123,0,421,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,110,1,0,20,1,0,15,15,0,68,0,0,2,0,0,2,0,0,3,3017,4935,701,2,127,,,,,,
112637,42129801100,20-Dec,162,73,2548,2480.91,0,2264.79,1523.1,0,1909.92,29,11,0,126,1,0,5,1,0,8,9,0,109,0,0,0,0,0,1,0,0,3,0,0,0,8,0,0,1,0,0,0,102,6,0,17,5,0,20,13,0,51,0,0,0,0,0,0,5,0,14,2783,3433,137,9,131,,,,,,
112638,42003475304,20-Dec,30,95,2333,2047,0,2120.21,0,0,1856.6,0,4,0,14,0,0,0,0,0,1,4,0,10,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2458,1856,18,0,5,,,,,,
112639,42003475200,20-Dec,95,28,2374,2317.4,0,1550.44,3928.6,0,2056.61,5,15,0,55,0,0,0,4,0,3,10,0,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,3,5,0,13,0,0,1,0,0,0,0,0,1,2497,5985,70,0,28,,,,,,
112640,42129800500,20-Dec,58,24,1290,0,0,1541.33,3005,0,2658.31,9,0,0,9,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52,2,0,7,0,0,2,7,0,36,0,0,0,0,0,0,0,0,7,1372,5663,9,2,61,,,,,,
