tract,pop_total,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus
Geography,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!AGE!!5 to 9 years,Total!!Estimate!!AGE!!10 to 14 years,Total!!Estimate!!AGE!!15 to 19 years,Total!!Estimate!!AGE!!20 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!35 to 39 years,Total!!Estimate!!AGE!!40 to 44 years,Total!!Estimate!!AGE!!45 to 49 years,Total!!Estimate!!AGE!!50 to 54 years,Total!!Estimate!!AGE!!55 to 59 years,Total!!Estimate!!AGE!!60 to 64 years,Total!!Estimate!!AGE!!65 to 69 years,Total!!Estimate!!AGE!!70 to 74 years,Total!!Estimate!!AGE!!75 to 79 years,Total!!Estimate!!AGE!!80 to 84 years,Total!!Estimate!!AGE!!85 years and over
42003,1224772,5.2,5.4,5.5,6.5,7.1,7.1,6.0,5.8,6.2,7.2,8.0,7.3,6.0,4.4,3.5,3.1,2.9,2.9
42003010300,5338,0.0,1.0,0.1,38.3,35.6,3.4,3.8,4.0,1.5,2.7,2.8,3.3,1.2,0.8,0.6,0.1,0.7,0.2
42003020100,4385,0.2,0.0,0.5,15.1,18.9,13.6,9.1,7.0,4.0,5.8,6.2,4.3,4.3,2.6,1.6,2.2,2.7,2.1
42003020300,604,0.7,4.0,0.0,0.0,7.0,23.5,24.0,4.6,0.7,12.9,7.6,7.0,4.0,0.8,0.2,0.0,3.1,0.0
42003030500,2304,6.7,4.9,8.1,5.9,16.1,5.6,3.3,4.2,4.4,4.9,3.7,5.2,3.3,6.1,5.1,5.2,2.7,4.6
42003040200,2183,7.9,0.7,2.3,26.4,21.6,10.7,4.8,5.2,1.5,3.7,1.9,4.1,3.1,1.1,1.8,1.1,1.0,1.3
42003040400,2298,0.4,0.0,0.0,18.8,35.2,4.4,3.8,0.0,0.0,1.8,1.1,1.2,5.4,6.2,3.7,5.7,3.8,8.4
42003040500,2949,0.3,0.0,0.0,15.9,66.5,4.3,2.1,2.6,0.7,0.5,1.1,0.4,1.4,1.6,1.3,0.4,0.8,0.0
42003040600,2212,1.0,0.0,0.6,2.1,75.3,3.3,0.5,2.3,2.3,2.2,0.9,3.3,0.0,2.3,1.8,0.4,0.0,1.7
42003040900,2758,1.7,2.7,2.5,2.5,45.4,5.4,1.8,3.7,5.1,6.7,3.5,4.0,3.6,2.9,1.4,3.5,2.2,1.3
42003050100,1805,4.8,1.4,4.4,10.6,3.8,3.0,5.3,5.2,6.6,11.4,4.3,6.4,11.6,7.5,4.0,3.7,3.0,2.9
42003050600,1850,4.1,5.2,4.0,7.6,9.7,2.9,4.9,7.9,7.9,8.4,7.7,8.3,2.0,3.8,6.1,1.7,3.1,4.7
42003050900,1024,11.6,3.1,4.3,8.2,9.3,5.7,2.4,8.7,0.5,4.0,12.1,7.0,6.9,4.4,5.5,2.2,1.4,2.6
42003051000,1940,2.6,1.3,4.7,48.5,11.5,2.8,3.7,4.0,0.4,2.0,3.7,4.3,3.1,2.0,1.8,1.1,0.7,1.8
42003051100,891,8.2,1.7,15.0,9.4,11.6,14.0,2.5,7.5,5.9,11.6,5.8,1.5,2.9,0.4,0.6,0.0,0.0,1.3
