tract,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus
42003010301,0.0,0.0,0.0,3.4,15.9,24.0,17.4,11.2,9.1,8.0,3.8,4.1,1.4,1.0,0.7,0.0,0.0,0.0
42003010302,1.2,0.8,0.0,47.9,36.1,3.3,2.3,1.1,1.2,0.9,1.1,1.9,0.7,0.3,0.1,0.5,0.3,0.3
42003020100,1.1,1.2,0.6,15.3,16.0,14.6,13.4,3.1,4.3,2.8,2.1,6.9,6.9,4.8,3.2,2.6,0.6,0.5
42003020300,2.3,0.4,0.0,1.0,2.8,29.4,21.2,18.9,2.0,2.0,8.7,5.5,1.2,2.3,0.3,0.7,1.0,0.4
42003030500,2.1,3.8,2.1,5.6,15.0,18.0,9.7,4.0,5.6,4.3,3.5,4.4,4.0,4.5,5.6,2.0,2.3,3.3
42003040200,3.8,0.5,1.6,15.9,32.7,7.1,3.5,1.0,1.8,2.1,4.5,7.4,5.2,6.6,0.0,2.0,1.8,2.6
42003040400,1.0,0.0,0.0,8.8,21.0,8.4,4.5,2.8,1.3,1.0,5.6,3.5,1.4,6.5,12.1,6.5,4.9,10.6
42003040500,0.0,0.0,0.0,16.7,65.8,6.2,0.7,0.5,0.0,0.0,0.8,3.8,1.1,1.7,0.7,0.0,1.6,0.3
42003040600,0.0,0.0,0.7,13.0,67.4,6.0,1.5,1.6,0.3,1.8,4.2,0.4,0.6,0.0,0.8,0.8,0.0,0.9
42003040900,2.0,1.5,0.5,6.0,57.0,10.5,4.2,1.7,0.8,1.5,2.1,1.9,4.5,2.3,1.2,0.3,0.9,1.1
42003050100,17.1,1.0,6.7,1.3,5.7,10.6,5.2,1.4,2.9,4.5,3.0,7.8,9.6,4.3,7.0,4.3,4.3,3.5
42003050600,8.8,6.0,2.9,5.6,12.5,7.8,4.4,3.5,7.0,1.0,5.5,5.5,8.3,4.1,6.5,6.0,0.3,4.3
42003050900,7.9,5.0,5.1,12.0,12.3,7.7,1.1,7.5,4.3,3.8,5.7,4.1,4.0,7.2,1.3,7.5,3.1,0.4
