tract,pop_total,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus,edu_hsplus,edu_bachelorsplus,movedin_last_decade,unemployed,income_household_mean,race_white_mono,race_black_mono,race_asian_mono,ethnicity_latino,households_avg_size
42003020100,4385,0.2,0.0,0.5,15.1,18.9,13.6,9.1,7.0,4.0,5.8,6.2,4.3,4.3,2.6,1.6,2.2,2.7,2.1,93.9,37.7,58.2,8.0,91071,59.1,27.1,7.4,5.5,1.33
42003020300,604,0.7,4.0,0.0,0.0,7.0,23.5,24.0,4.6,0.7,12.9,7.6,7.0,4.0,0.8,0.2,0.0,3.1,0.0,93.4,75.3,78.2,1.9,152763,71.2,3.5,10.8,15.4,1.59
42003030500,2304,6.7,4.9,8.1,5.9,16.1,5.6,3.3,4.2,4.4,4.9,3.7,5.2,3.3,6.1,5.1,5.2,2.7,4.6,76.1,13.2,59.7,26.0,19575,15.8,81.9,0.0,2.0,1.75
42003040200,2183,7.9,0.7,2.3,26.4,21.6,10.7,4.8,5.2,1.5,3.7,1.9,4.1,3.1,1.1,1.8,1.1,1.0,1.3,89.5,38.3,51.2,18.4,29110,44.0,48.1,4.8,2.8,2.18
42003040400,2298,0.4,0.0,0.0,18.8,35.2,4.4,3.8,0.0,0.0,1.8,1.1,1.2,5.4,6.2,3.7,5.7,3.8,8.4,98.9,63.3,51.1,1.2,52483,54.3,2.7,40.6,2.2,1.74
42003040500,2949,0.3,0.0,0.0,15.9,66.5,4.3,2.1,2.6,0.7,0.5,1.1,0.4,1.4,1.6,1.3,0.4,0.8,0.0,87.1,56.7,56.7,9.4,24915,79.5,5.8,8.7,2.8,2.43
42003040600,2212,1.0,0.0,0.6,2.1,75.3,3.3,0.5,2.3,2.3,2.2,0.9,3.3,0.0,2.3,1.8,0.4,0.0,1.7,81.0,27.8,57.5,3.4,27712,85.0,5.4,4.2,3.7,2.49
42003040900,2758,1.7,2.7,2.5,2.5,45.4,5.4,1.8,3.7,5.1,6.7,3.5,4.0,3.6,2.9,1.4,3.5,2.2,1.3,91.2,31.0,48.3,12.6,40294,73.1,21.3,4.6,3.0,2.43
42003050100,1805,4.8,1.4,4.4,10.6,3.8,3.0,5.3,5.2,6.6,11.4,4.3,6.4,11.6,7.5,4.0,3.7,3.0,2.9,84.9,12.5,49.4,10.0,31864,10.9,83.3,0.0,0.0,1.80
42003050600,1850,4.1,5.2,4.0,7.6,9.7,2.9,4.9,7.9,7.9,8.4,7.7,8.3,2.0,3.8,6.1,1.7,3.1,4.7,93.7,24.2,50.1,16.4,46979,13.0,81.5,3.4,0.0,2.06
