tract,edu_hsplus,edu_bachelorsplus
42003010300,81.5,11.9
42003020100,93.9,37.7
42003020300,93.4,75.3
42003030500,76.1,13.2
42003040200,89.5,38.3
42003040400,98.9,63.3
42003040500,87.1,56.7
42003040600,81.0,27.8
42003040900,91.2,31.0
42003050100,84.9,12.5
42003050600,93.7,24.2
42003050900,86.8,8.3
42003051000,77.4,13.9
42003051100,84.0,2.3
42003060300,88.2,32.0
42003060500,89.4,28.1
42003070300,95.0,75.0
42003070500,98.4,80.3
42003070600,99.7,82.0
42003070800,99.2,82.3
42003070900,96.8,80.1
42003080200,91.8,47.3
42003080400,93.4,53.2
42003080600,96.5,62.2
42003080700,93.9,64.2
42003080900,87.3,42.1
42003090100,88.6,28.0
42003090200,89.9,33.6
42003090300,88.2,17.8
42003100500,89.0,26.6
42003101100,90.0,18.4
42003101400,85.2,32.7
42003101600,81.2,16.7
42003101700,84.0,9.7
42003101800,86.5,33.3
42003110200,97.2,56.7
42003110600,97.6,64.4
42003111300,84.0,25.7
42003111400,84.4,11.8
42003111500,85.2,32.1
42003120300,84.5,12.0
42003120400,92.7,6.4
42003120700,78.3,5.4
42003120800,87.6,10.8
42003130100,91.4,15.4
42003130200,81.4,9.7
42003130300,83.0,18.1
42003130400,75.3,17.1
42003130600,87.6,13.5
42003140100,98.0,76.2
42003140200,98.1,88.7
42003140300,98.9,81.0
42003140400,97.1,77.1
42003140500,97.4,64.6
42003140600,95.9,68.5
42003140800,99.3,79.6
42003141000,93.7,75.7
42003141100,89.3,44.1
42003141300,96.7,70.4
42003141400,96.7,65.0
42003151600,94.3,37.2
42003151700,95.2,50.2
42003160800,87.2,28.8
42003160900,91.2,49.5
42003170200,93.6,44.4
42003170600,89.6,45.6
42003180300,88.8,7.6
42003180700,92.2,30.5
42003190300,95.5,51.2
42003191100,94.3,38.4
42003191400,93.2,41.3
42003191500,84.6,20.8
42003191600,90.7,24.7
42003191700,95.2,25.7
42003191800,92.7,23.1
42003191900,92.1,26.9
42003192000,91.5,24.1
42003202200,89.9,16.7
42003202300,96.3,36.1
42003210700,89.0,19.5
42003220600,90.0,49.6
42003240600,92.1,22.2
42003241200,76.9,12.0
42003250300,93.0,43.9
42003250700,86.3,11.1
42003250900,84.3,8.1
42003260200,89.9,28.5
42003260700,93.5,32.9
42003260900,70.9,1.0
42003261200,91.3,22.2
42003261400,85.7,22.2
42003261500,93.2,16.7
42003262000,82.1,14.6
42003270100,93.6,32.2
42003270300,84.6,15.9
42003270400,84.4,7.4
42003270800,94.7,39.0
42003271500,78.9,7.4
42003281400,81.3,12.5
42003281500,91.8,23.9
42003290100,87.2,15.1
42003290200,81.0,14.2
42003290400,84.5,21.1
42003300100,85.5,9.1
42003310200,89.6,11.0
42003310300,92.0,30.3
42003320400,92.6,12.8
42003320600,92.6,25.3
42003320700,91.6,14.5
42003401100,94.7,17.2
42003401200,89.1,12.2
42003401300,97.5,35.9
42003402000,90.7,17.6
42003403500,87.8,16.8
42003404000,92.5,26.3
42003405000,88.0,18.1
42003406000,92.7,17.8
42003407001,87.7,18.8
42003407002,92.4,34.1
42003408001,95.2,42.4
42003408002,98.2,51.1
42003409000,96.8,68.6
42003410000,99.2,67.4
42003411000,97.8,67.1
42003412001,97.8,70.7
42003412002,99.4,62.3
42003413100,98.4,61.3
42003413201,97.4,48.9
42003413202,96.0,50.2
42003413300,94.9,44.6
42003413400,97.0,59.9
42003413500,97.4,43.6
42003414101,95.9,46.8
42003414102,97.4,52.5
42003414200,95.8,40.9
42003415001,90.3,40.3
42003415002,95.3,56.7
42003416000,87.2,19.6
42003417100,90.8,22.8
42003417200,88.6,10.8
42003418000,95.7,28.5
42003419000,91.7,26.6
42003420000,89.1,22.9
42003421100,94.7,58.2
42003421200,96.1,59.7
42003422000,98.9,79.4
