tract,movedin_last_decade
42003010300,40.3
42003020100,58.2
42003020300,78.2
42003030500,59.7
42003040200,51.2
42003040400,51.1
42003040500,56.7
42003040600,57.5
42003040900,48.3
42003050100,49.4
42003050600,50.1
42003050900,61.8
42003051000,75.6
42003051100,73.6
42003060300,49.8
42003060500,48.6
42003070300,60.4
42003070500,62.1
42003070600,63.2
42003070800,67.8
42003070900,57.1
42003080200,46.1
42003080400,64.3
42003080600,52.4
42003080700,63.2
42003080900,55.0
42003090100,50.1
42003090200,40.3
42003090300,48.1
42003100500,37.5
42003101100,50.0
42003101400,54.2
42003101600,51.8
42003101700,52.0
42003101800,31.0
42003110200,58.8
42003110600,55.0
42003111300,57.3
42003111400,68.1
42003111500,56.3
42003120300,43.0
42003120400,50.5
42003120700,43.8
42003120800,44.9
42003130100,45.2
42003130200,24.4
42003130300,43.1
42003130400,35.7
42003130600,51.3
42003140100,36.6
42003140200,56.3
42003140300,43.3
42003140400,37.4
42003140500,51.3
42003140600,43.3
42003140800,49.9
42003141000,39.3
42003141100,34.5
42003141300,57.0
42003141400,54.2
42003151600,38.9
42003151700,51.8
42003160800,32.3
42003160900,70.7
42003170200,54.1
42003170600,52.1
42003180300,44.6
42003180700,45.4
42003190300,41.1
42003191100,51.8
42003191400,47.7
42003191500,53.9
42003191600,42.9
42003191700,44.0
42003191800,41.1
42003191900,43.9
42003192000,47.9
42003202200,34.8
42003202300,49.5
42003210700,44.2
42003220600,60.7
42003240600,54.1
42003241200,36.1
42003250300,58.2
42003250700,56.5
42003250900,58.3
42003260200,45.6
42003260700,55.4
42003260900,53.6
42003261200,37.5
42003261400,58.7
42003261500,50.1
42003262000,42.7
42003270100,53.4
42003270300,51.8
42003270400,43.3
42003270800,52.8
42003271500,50.7
42003281400,51.4
42003281500,39.3
42003290100,40.9
42003290200,53.2
42003290400,41.8
42003300100,40.9
42003310200,26.9
42003310300,39.6
42003320400,39.2
42003320600,40.2
42003320700,27.1
42003401100,38.4
42003401200,52.4
42003401300,39.3
42003402000,47.5
42003403500,47.5
42003404000,47.1
42003405000,35.1
42003406000,23.9
42003407001,55.7
42003407002,36.4
42003408001,43.5
42003408002,51.8
42003409000,55.4
42003410000,36.0
42003411000,48.8
42003412001,48.5
42003412002,37.7
42003413100,43.5
42003413201,41.4
42003413202,48.3
42003413300,35.6
42003413400,34.9
42003413500,47.3
42003414101,43.4
42003414102,42.6
42003414200,38.9
42003415001,45.9
42003415002,36.7
42003416000,38.8
42003417100,41.5
42003417200,33.3
42003418000,40.9
42003419000,49.2
42003420000,47.8
42003421100,41.1
42003421200,38.8
42003422000,46.7
42003423000,63.0
42003424000,55.8
42003425000,55.8
42003426300,35.7
42003426400,38.8
42003426700,41.8
42003426800,30.0
42003427000,51.9
42003427100,36.7
42003427200,46.6
42003428100,31.2
42003428200,35.3
42003429100,44.0
42003429201,41.3
42003429202,38.4
42003429300,37.2
42003429400,37.1
42003429500,55.1
42003429600,40.4
42003429700,33.7
42003430100,46.5
42003430200,41.9
42003431100,56.9
42003431400,43.4
42003431500,53.5
42003432300,51.6
42003432400,51.0
42003434000,42.6
42003435000,47.8
42003437000,49.0
42003439000,37.5
42003445500,48.5
42003446000,42.5
42003447000,38.5
42003448000,46.8
42003449000,50.0
42003450700,42.7
42003450800,48.8
42003451101,54.5
42003451102,41.0
42003451104,47.0
42003451105,59.0
42003451300,46.8
42003452000,44.9
42003453003,45.3
42003453004,56.2
42003455000,27.5
42003456001,43.6
42003456003,57.9
42003456004,65.3
42003457100,41.0
42003457200,36.5
42003458000,52.7
42003459101,34.4
42003459102,43.9
42003459201,47.9
42003459202,59.2
42003460001,42.7
42003460002,30.7
42003461000,46.7
42003462100,36.3
42003462600,51.1
42003463900,40.7
42003464300,43.4
42003464400,50.4
42003465600,56.0
42003465800,46.3
42003468700,37.9
42003468800,55.0
42003468900,48.6
42003469000,33.7
42003470300,41.9
42003470400,35.2
42003470501,56.0
42003470502,38.0
42003470600,42.7
42003471000,37.7
42003472100,54.1
42003472200,47.4
42003472300,45.7
42003472400,44.7
42003473100,42.3
42003473200,52.9
42003473300,42.8
42003473401,38.7
42003473402,41.3
42003473500,50.3
42003473601,42.8
42003473602,36.6
42003474101,36.1
42003474102,46.5
42003474201,36.7
42003474202,40.6
42003474203,32.3
42003475101,46.2
42003475102,29.8
42003475200,31.9
42003475301,43.6
42003475303,35.3
42003475304,44.4
42003475401,32.0
42003475402,36.2
42003476100,48.1
42003476200,33.8
42003477100,42.5
42003477200,43.5
42003477300,42.5
42003478100,47.3
42003478200,40.4
42003479000,35.3
42003480101,46.7
42003480102,30.5
42003480200,33.7
42003480300,31.3
42003480400,27.0
42003481000,47.4
42003482500,19.9
42003483800,57.3
42003484300,40.9
42003484500,29.5
42003484600,37.1
42003485000,35.0
42003486700,56.5
42003486800,25.6
42003486900,33.1
42003487000,36.2
42003488100,35.0
42003488200,43.8
42003488300,30.3
42003488400,37.5
42003488500,25.5
42003488600,26.1
42003489001,42.4
42003489002,36.2
42003490002,29.7
42003490003,36.8
42003490004,30.9
42003491101,51.0
42003491200,40.5
42003492700,41.2
42003492800,47.8
42003492900,43.7
42003494000,42.7
42003495000,36.4
42003496101,33.0
42003496102,33.2
42003496200,38.6
42003497000,26.8
42003498000,31.2
42003499300,32.4
42003499400,48.6
42003500300,33.9
42003501000,37.8
42003503002,32.2
42003504100,44.9
42003507000,39.9
42003508000,56.9
42003509400,39.3
42003510000,57.0
42003512000,43.0
42003512800,53.1
42003512900,48.1
42003513800,47.4
42003514000,45.9
42003515100,52.5
42003515200,55.2
42003515300,53.1
42003515401,42.7
42003516100,41.9
42003516200,43.4
42003517000,50.3
42003518001,38.9
42003519000,32.5
42003520001,44.2
42003520002,40.2
42003521100,33.0
42003521200,47.2
42003521301,53.6
42003521302,44.5
42003521401,47.3
42003521402,30.1
42003521500,28.4
42003522000,48.5
42003523100,15.1
42003523200,46.3
42003523300,40.1
42003523400,54.9
42003523501,43.3
42003523502,34.3
42003523600,41.7
42003523701,36.9
42003523702,44.6
42003523800,34.6
42003524000,48.5
42003525100,49.4
42003525200,58.7
42003525300,41.5
42003526101,42.0
42003526102,37.3
42003526201,31.6
42003526202,36.4
42003526301,30.5
42003526302,46.4
42003550900,41.1
42003551200,45.5
42003551300,35.3
42003551900,62.1
42003552000,44.7
42003552100,64.2
42003552200,41.0
42003552300,42.9
42003552400,41.4
42003560400,66.9
42003560500,61.2
42003560600,70.1
42003561000,53.4
42003561100,45.0
42003561200,49.8
42003561400,53.9
42003561500,43.6
42003561600,40.0
42003561700,43.2
42003561900,40.7
42003562000,61.3
42003562300,49.3
42003562400,28.9
42003562500,56.4
42003562600,41.2
42003562700,44.4
42003562800,55.1
42003562900,42.0
