tract,mar_married,mar_divorced,mar_never
Geography,Now married (except separated)!!Estimate!!Population 15 years and over,Divorced!!Estimate!!Population 15 years and over,Never married!!Estimate!!Population 15 years and over
42003010300,3.7,2.9,90.1
42003020100,15.6,11.5,66.0
42003020300,41.5,8.9,46.2
42003030500,7.7,12.1,53.0
42003040200,11.3,6.1,77.0
42003040400,20.8,3.2,67.5
42003040500,4.5,1.6,93.2
42003040600,6.0,5.5,84.8
42003040900,14.8,7.4,74.8
42003050100,18.0,15.1,51.3
42003050600,22.5,9.9,52.2
42003050900,5.7,18.1,56.0
42003051000,2.7,6.9,84.0
42003051100,7.8,7.2,74.0
42003060300,19.6,11.6,56.7
42003060500,27.5,14.6,41.3
42003070300,35.3,8.2,50.9
42003070500,19.5,2.8,74.9
42003070600,24.0,7.5,64.4
42003070800,41.9,4.3,44.7
42003070900,31.6,2.9,59.5
42003080200,37.3,7.9,46.4
42003080400,16.1,3.3,75.2
42003080600,25.2,4.1,64.5
42003080700,31.7,3.9,59.3
42003080900,21.3,10.6,64.2
42003090100,31.1,12.7,49.6
42003090200,34.7,7.9,46.2
42003090300,24.0,8.6,55.1
42003100500,27.1,9.3,44.5
42003101100,32.5,2.9,56.0
42003101400,42.5,9.5,39.3
42003101600,12.2,1.3,68.1
42003101700,26.3,10.7,47.1
42003101800,44.5,8.2,33.7
42003110200,36.8,12.9,43.2
42003110600,53.4,5.5,32.8
42003111300,19.0,13.0,53.5
42003111400,26.6,9.5,50.6
42003111500,24.4,9.6,53.9
42003120300,27.2,14.0,42.7
42003120400,14.4,22.6,52.6
42003120700,18.1,18.7,40.1
42003120800,23.6,11.4,45.5
42003130100,20.2,15.2,46.5
42003130200,31.3,13.7,37.4
42003130300,16.4,9.8,46.3
42003130400,30.8,7.6,46.5
42003130600,22.7,12.9,53.8
42003140100,20.5,1.6,75.5
42003140200,38.0,3.4,56.2
42003140300,63.0,6.1,22.9
42003140400,64.1,7.5,24.9
42003140500,28.9,8.6,49.6
42003140600,47.7,7.5,37.6
42003140800,48.7,7.9,39.7
42003141000,62.1,8.4,24.0
42003141100,62.0,8.0,22.1
42003141300,43.6,3.5,41.7
42003141400,53.6,7.1,27.4
42003151600,35.5,9.3,46.9
42003151700,47.2,8.8,38.8
42003160800,17.1,8.6,65.1
42003160900,23.0,9.0,55.9
42003170200,18.0,3.8,72.2
42003170600,22.6,12.0,60.0
42003180300,21.8,16.6,49.8
42003180700,33.7,5.1,54.6
42003190300,35.3,12.8,49.6
42003191100,37.2,10.4,43.6
42003191400,22.0,8.0,60.4
42003191500,32.8,8.6,46.8
42003191600,30.6,11.4,47.8
42003191700,44.9,9.4,35.0
42003191800,45.8,10.1,35.5
42003191900,38.5,7.9,39.9
42003192000,37.1,12.2,38.2
42003202200,39.3,8.5,34.5
42003202300,47.2,8.2,35.2
42003210700,24.8,23.2,42.1
42003220600,25.4,10.3,42.7
42003240600,40.1,6.8,37.6
42003241200,25.0,17.1,49.3
42003250300,25.6,7.7,62.7
42003250700,15.5,11.7,57.3
42003250900,42.6,10.4,41.1
42003260200,38.0,8.2,40.9
42003260700,40.9,10.3,42.7
42003260900,9.6,2.6,73.6
42003261200,49.3,9.7,34.6
42003261400,13.1,16.7,55.5
42003261500,23.1,9.8,50.1
42003262000,33.8,13.7,32.4
42003270100,40.3,15.1,37.1
42003270300,22.0,20.5,46.1
42003270400,24.8,14.7,52.0
42003270800,43.6,10.5,35.5
42003271500,29.1,15.2,43.0
42003281400,27.6,11.2,48.1
42003281500,42.3,11.0,36.7
42003290100,37.8,10.4,37.0
42003290200,35.1,11.5,39.4
42003290400,43.9,12.3,31.8
42003300100,29.1,13.5,50.3
42003310200,50.8,10.6,27.3
42003310300,61.8,4.5,27.0
42003320400,42.2,14.4,31.5
42003320600,48.5,8.1,35.6
42003320700,54.9,6.7,30.5
42003401100,45.3,12.8,30.6
42003401200,38.5,11.5,35.2
42003401300,52.9,12.7,22.7
42003402000,42.9,11.0,33.4
42003403500,48.5,8.1,33.1
42003404000,47.7,11.3,29.3
42003405000,55.6,11.8,23.3
42003406000,56.5,10.1,23.5
42003407001,53.3,12.9,24.7
42003407002,60.1,7.0,24.8
42003408001,57.1,5.6,23.9
42003408002,63.4,9.1,20.4
42003409000,68.0,3.8,22.1
42003410000,73.0,5.6,17.9
42003411000,70.6,2.7,21.6
42003412001,67.5,5.0,23.3
42003412002,68.3,6.1,23.6
42003413100,63.5,4.3,26.9
42003413201,60.2,7.7,26.3
42003413202,54.8,10.1,23.7
42003413300,57.7,7.6,22.6
42003413400,68.8,3.9,20.8
42003413500,46.3,7.3,38.0
42003414101,66.2,7.0,22.1
42003414102,60.6,6.6,21.9
42003414200,57.2,4.6,27.0
42003415001,59.4,9.3,23.5
