geoid,pop_geoid_2010
420030103001,2594
420030103002,3336
420030103003,353
420030103004,317
420030201001,1435
420030201002,936
420030201003,28
420030201004,798
420030201005,9
420030201006,423
420030203001,616
420030305001,1403
420030305002,853
420030402001,834
420030402002,1770
420030404001,636
420030404002,1852
420030405001,1904
420030405002,1790
420030406001,2392
420030409001,1120
420030409002,1140
420030409003,709
420030501001,564
420030501002,416
420030501003,727
420030506001,925
420030506002,483
420030506003,649
420030509001,1202
420030510001,934
420030510002,1172
420030511001,1122
420030603001,1114
420030603002,1227
420030605001,668
420030605002,606
420030703001,693
420030703002,778
420030703003,726
420030705001,1257
420030705002,724
420030705003,1016
420030706001,921
420030706002,1161
420030708001,725
420030708002,980
420030709001,1762
420030709002,787
420030709003,892
420030709004,1493
420030802001,1049
420030802002,630
420030804001,667
420030804002,702
420030806001,1313
420030806002,685
420030807001,839
420030807002,946
420030809001,995
420030809002,772
420030901001,1308
420030901002,535
420030902001,872
420030902002,1062
420030902003,701
420030903001,1081
420030903002,548
420031005001,824
420031005002,1255
420031011001,1339
420031011002,641
420031011003,689
420031014001,1124
420031014002,670
420031014003,822
420031014004,730
420031016001,857
420031017001,607
420031017002,858
420031018001,1006
420031018002,1516
420031102001,808
420031102002,736
420031102003,1197
420031102004,1230
420031106001,969
420031106002,716
420031106003,721
420031113001,757
420031113002,624
420031113003,579
420031113004,679
420031114001,575
420031114002,778
420031115001,757
420031115002,1538
420031115003,170
420031115004,765
420031203001,952
420031203002,698
420031204001,543
420031204002,326
420031207001,460
420031207002,358
420031208001,355
420031208002,504
420031301001,821
420031301002,546
420031301003,543
420031302001,662
420031302002,708
420031303001,361
420031303002,286
420031303003,506
420031304001,399
420031304002,482
420031304003,310
420031306001,579
420031306002,644
420031306003,1946
420031401001,1280
420031401002,1897
420031401003,527
420031401004,1772
420031402001,909
420031402002,1538
420031403001,790
420031403002,1006
420031403003,912
420031403004,732
420031404001,707
420031404002,644
420031404003,955
420031405001,811
420031405002,521
420031405003,722
420031406001,1261
420031406002,772
420031406003,969
420031408001,1929
420031408002,1781
420031408003,844
420031410001,928
420031411001,1361
420031413001,1516
420031413002,1567
420031413003,2094
420031414001,1002
420031414002,683
420031414003,988
420031414004,1712
420031414005,966
420031516001,1140
420031516002,709
420031516003,514
420031517001,932
420031517002,635
420031517003,743
420031517004,618
420031517005,905
420031517006,1098
420031608001,484
420031608002,635
420031608003,702
