tract,households_avg_size
42003010302,1.96
42003020100,1.49
42003020300,1.38
42003030500,1.69
42003040200,2.03
42003040400,1.46
42003040500,2.18
42003040600,2.38
42003040900,2.09
42003050100,1.81
42003050600,2.54
42003050900,1.67
42003051000,1.56
42003051100,3.23
42003060300,1.70
42003060500,1.80
42003070300,1.89
42003070500,1.76
42003070600,1.57
42003070800,1.60
42003070900,1.60
42003080200,1.81
42003080400,1.72
42003080600,1.83
42003080700,1.45
42003080900,1.74
42003090100,1.77
42003090200,1.67
42003090300,1.90
42003100500,2.07
42003101100,2.16
42003101400,2.06
42003101800,1.99
42003101900,2.25
42003110200,1.91
42003110600,2.09
42003111300,1.97
42003111400,2.23
42003111500,1.44
42003120300,2.75
42003120900,2.11
42003130200,2.49
42003130600,2.21
42003130700,1.92
42003130800,1.99
42003140100,2.63
42003140200,2.07
42003140300,2.36
42003140400,2.42
42003140500,1.64
42003140800,2.26
42003141100,2.20
42003141200,2.10
42003141300,1.99
42003141400,2.09
42003151600,1.96
42003151700,1.94
42003160800,1.89
42003160900,1.68
42003161000,2.26
42003170200,1.95
42003170600,1.93
42003180300,2.25
42003180700,2.10
42003190300,1.64
42003191100,1.78
42003191400,1.66
42003191500,2.11
42003191600,2.19
42003191700,2.34
42003191800,2.16
42003191900,1.90
42003192000,2.37
42003202200,2.20
42003202300,2.02
42003241300,1.86
42003250900,1.88
42003260200,2.17
42003260700,2.43
42003261300,2.75
42003261400,2.07
42003261500,2.64
42003262000,1.92
42003270100,2.19
42003270300,2.32
42003270800,1.79
42003271600,2.17
42003281400,2.07
42003281500,2.40
42003290100,2.38
42003290200,2.18
42003290400,2.07
42003300100,2.77
42003310200,2.12
42003320400,1.94
42003320600,2.25
42003320700,2.31
42003401100,2.14
42003401200,2.10
42003401300,2.43
42003402000,1.98
42003403500,1.97
42003404000,2.12
42003405000,2.40
42003406000,2.28
42003407001,2.27
42003407002,2.23
42003408001,2.73
42003408002,2.49
42003409001,2.71
42003409002,3.07
42003410000,2.59
42003411001,3.08
42003411002,2.52
42003412002,2.66
42003412003,2.91
42003412004,2.73
42003413100,2.41
42003413201,2.55
42003413202,2.27
42003413300,2.27
42003413400,2.62
42003413500,1.89
42003414101,2.73
42003414102,2.56
42003414200,2.68
42003415001,2.81
42003415002,2.46
42003416000,1.91
42003417100,2.11
42003417200,2.12
42003418000,2.04
42003419000,1.90
42003420000,1.76
42003421100,2.27
42003421200,2.21
42003422000,2.96
42003423000,2.27
42003424000,1.99
42003425000,2.04
42003426300,2.45
42003426400,2.04
42003426700,1.92
42003426800,2.48
42003427000,1.94
42003427100,2.28
42003427200,2.04
42003428100,2.21
42003428200,2.19
42003429100,2.12
42003429201,2.27
42003429202,2.42
42003429300,2.32
42003429400,2.24
42003429500,1.76
42003429600,2.16
42003429700,2.02
42003430100,2.10
42003430200,2.34
42003431100,1.78
42003431400,1.99
42003431500,1.74
42003432300,1.59
42003432400,1.84
42003434000,2.41
42003435000,2.04
42003437000,2.57
42003439000,2.84
42003445500,2.22
42003446000,2.57
42003447000,2.47
42003448000,1.88
42003449000,2.32
42003450700,1.89
42003450800,2.10
42003451101,2.36
42003451102,2.04
42003451104,2.90
42003451105,2.39
42003451300,2.30
42003452000,2.23
42003453003,2.43
42003453004,2.11
42003455000,2.24
42003456001,2.81
42003456003,2.86
42003456004,2.08
42003457100,1.93
42003457200,1.89
42003458001,2.13
42003458002,2.06
42003459101,2.53
42003459102,2.36
42003459201,2.03
42003459202,1.44
42003460001,2.25
42003460002,2.19
42003461000,1.80
42003462100,2.50
42003462600,2.32
42003463900,1.94
42003464300,2.26
42003464400,2.03
42003465600,2.01
42003465800,2.07
42003468700,2.15
42003468800,1.99
42003468900,1.84
42003469000,2.19
42003470300,2.06
42003470400,2.17
42003470501,1.85
42003470502,2.24
42003470600,2.05
42003471000,1.78
42003472100,1.84
42003472200,1.79
42003472300,1.91
42003472400,2.30
42003473100,2.36
42003473200,1.97
42003473300,2.31
42003473401,2.51
42003473402,2.55
42003473500,2.91
42003473601,2.34
42003473602,2.44
42003474101,2.90
42003474102,2.78
42003474201,2.63
42003474202,2.57
42003474203,2.68
42003475101,1.99
42003475102,2.50
42003475200,2.38
42003475301,1.93
42003475303,2.39
42003475304,2.36
42003475401,2.15
42003475402,2.32
42003476100,2.17
42003476200,2.15
42003477100,2.08
42003477200,2.04
42003477300,2.38
42003478100,2.15
42003478200,2.37
42003479000,2.43
42003480101,2.28
42003480102,2.38
42003480200,2.44
42003480300,2.48
42003480400,2.16
42003481000,2.47
42003482500,2.08
42003483800,2.42
42003484300,2.19
42003484500,2.05
42003484600,1.79
42003485000,2.05
42003486700,2.34
42003486800,2.54
42003486900,2.52
42003487000,1.84
42003488100,2.29
42003488200,2.66
42003488300,2.41
42003488400,2.20
42003488500,2.19
42003488600,2.42
42003489001,2.33
42003489002,2.19
42003490002,2.13
42003490003,2.45
42003490004,2.60
42003491101,2.56
42003491200,1.97
42003492700,2.53
42003492800,2.10
42003492900,2.01
42003494000,2.38
42003495000,2.13
42003496101,2.25
42003496102,2.36
42003496200,2.38
42003497000,2.20
42003498000,2.01
42003499300,2.33
42003499400,2.31
42003500300,2.21
42003501000,1.98
42003503002,1.96
42003504100,2.14
42003507000,1.92
42003508000,2.09
42003509400,2.10
42003510000,2.15
42003512000,1.87
42003513000,1.94
42003513800,2.33
42003514000,2.17
42003515100,2.06
