"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP02_0001E","Estimate!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001PE","Percent!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0002E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002M","Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0003E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003M","Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0004E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004M","Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0005E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005M","Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0006E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006M","Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0007E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007M","Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0008E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008M","Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0009E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009M","Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0010E","Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010M","Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010PE","Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households"
