_id,hood,2010_Total_Population,2010_OneRace_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_OneRace_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_OneRace_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_pop,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population
1,Allegheny Center,933,896,381,453,4,56,1,1,37,27,1419,1337,683,390,8,235,1,20,82,50,486,441,302,-63,4,179,0,19,45,23
2,Allegheny West,462,448,354,84,1,7,0,2,14,13,540,493,426,32,1,16,1,17,47,41,78,45,72,-52,0,9,1,15,33,28
3,Allentown,2500,2384,1485,878,9,1,0,11,116,58,2305,2126,1272,785,3,19,6,41,179,81,-195,-258,-213,-93,-6,18,6,30,63,23
4,Arlington,2113,2042,1452,576,9,3,0,2,71,29,2040,1889,1206,620,5,12,0,46,151,68,-73,-153,-246,44,-4,9,0,44,80,39
,Arlington,1056.5,1021,726,288,4.5,1.5,0,1,35.5,14.5,1020,944.5,603,310,2.5,6,0,23,75.5,34,-36.5,-76.5,-123,22,-2,4.5,0,22,40,19.5
,Arlington Heights,1056.5,1021,726,288,4.5,1.5,0,1,35.5,14.5,1020,944.5,603,310,2.5,6,0,23,75.5,34,-36.5,-76.5,-123,22,-2,4.5,0,22,40,19.5
5,Banksville,4144,4053,3651,169,2,211,0,20,91,56,4127,3856,3191,194,7,385,2,77,271,158,-17,-197,-460,25,5,174,2,57,180,102
6,Bedford Dwellings,1202,1166,48,1106,8,3,0,1,36,19,1386,1327,51,1262,10,3,0,1,59,25,184,161,3,156,2,0,0,0,23,6
7,Beechview,7974,7763,6454,963,8,125,1,212,211,444,7596,7002,5457,903,46,157,4,435,594,780,-378,-761,-997,-60,38,32,3,223,383,336
8,Beltzhoover,1925,1834,191,1604,11,3,2,23,91,39,1604,1460,188,1180,7,14,0,71,144,92,-321,-374,-3,-424,-4,11,-2,48,53,53
9,Bloomfield,8442,8255,6886,739,11,542,3,74,187,219,8665,8119,6763,520,12,685,1,138,546,411,223,-136,-123,-219,1,143,-2,64,359,192
10,Bluff,6600,6513,4345,2057,13,73,2,23,87,161,5882,5742,3593,1897,36,122,0,94,140,331,-718,-771,-752,-160,23,49,-2,71,53,170
11,Bon Air,808,802,755,35,0,12,0,0,6,7,759,739,662,66,0,7,0,4,20,13,-49,-63,-93,31,0,-5,0,4,14,6
12,Brighton Heights,7247,7022,5354,1583,5,47,1,32,225,115,7105,6680,4692,1801,11,89,0,87,425,225,-142,-342,-662,218,6,42,-1,55,200,110
13,Brookline,13214,12936,12081,608,16,152,0,79,278,211,13063,12281,10883,809,31,354,7,197,782,465,-151,-655,-1198,201,15,202,7,118,504,254
14,California-Kirkbride,761,728,143,578,0,0,1,6,33,5,709,686,213,459,1,5,0,8,23,16,-52,-42,70,-119,1,5,-1,2,-10,11
15,Carrick,10113,9843,8696,972,15,113,1,46,270,166,10290,9610,7076,1666,29,633,2,204,680,403,177,-233,-1620,694,14,520,1,158,410,237
16,Central Business District,3629,3528,2706,580,8,171,2,61,101,119,5477,5206,3816,644,12,579,1,154,271,308,1848,1678,1110,64,4,408,-1,93,170,189
17,Central Lawrenceville,4482,4396,3862,422,3,78,0,31,86,78,4720,4501,4056,218,4,168,2,53,219,168,238,105,194,-204,1,90,2,22,133,90
18,Central Northside,2923,2837,1439,1347,5,23,0,23,86,80,2972,2811,1795,912,13,56,0,35,161,104,49,-26,356,-435,8,33,0,12,75,24
19,Central Oakland,6086,5970,5054,321,15,518,1,61,116,157,5835,5536,4537,288,6,627,1,77,299,219,-251,-434,-517,-33,-9,109,0,16,183,62
20,Chartiers City,477,470,142,325,3,0,0,0,7,2,492,458,128,307,3,12,1,7,34,21,15,-12,-14,-18,0,12,1,7,27,19
21,Chateau,11,11,8,3,0,0,0,0,0,0,19,16,12,2,0,2,0,0,3,4,8,5,4,-1,0,2,0,0,3,4
22,Crafton Heights,3814,3678,2528,1093,12,28,0,17,136,58,3999,3695,2270,1281,9,67,0,68,304,95,185,17,-258,188,-3,39,0,51,168,37
23,Crawford-Roberts,2256,2208,307,1861,7,24,0,9,48,32,2293,2175,297,1771,9,66,1,31,118,55,37,-33,-10,-90,2,42,1,22,70,23
24,Duquesne Heights,2425,2376,2244,69,2,53,0,8,49,30,2397,2297,2140,72,0,50,2,33,100,73,-28,-79,-104,3,-2,-3,2,25,51,43
25,East Allegheny,2136,2041,1339,643,9,23,0,27,95,86,1903,1796,1275,442,3,42,2,32,107,73,-233,-245,-64,-201,-6,19,2,5,12,-13
26,East Carnegie,570,557,447,92,0,3,0,15,13,25,491,435,338,73,4,8,0,12,56,22,-79,-122,-109,-19,4,5,0,-3,43,-3
27,East Hills,3169,3059,65,2953,18,14,2,7,110,37,2892,2775,69,2665,12,5,1,23,117,34,-277,-284,4,-288,-6,-9,-1,16,7,-3
28,East Liberty,5869,5686,1467,3976,11,190,11,31,183,142,6187,5783,2523,2614,26,513,4,103,404,255,318,97,1056,-1362,15,323,-7,72,221,113
29,Elliott,2381,2302,1560,704,5,16,0,17,79,37,2193,2047,1280,728,2,16,3,18,146,55,-188,-255,-280,24,-3,0,3,1,67,18
30,Esplen,301,295,196,90,4,2,0,3,6,4,322,280,170,95,0,0,0,15,42,6,21,-15,-26,5,-4,-2,0,12,36,2
31,Fairywood,1002,953,630,284,5,18,0,16,49,48,1092,992,555,253,0,168,0,16,100,47,90,39,-75,-31,-5,150,0,0,51,-1
32,Fineview,1285,1248,569,665,2,1,0,11,37,25,1140,1061,465,580,2,6,0,8,79,26,-145,-187,-104,-85,0,5,0,-3,42,1
33,Friendship,1785,1744,1120,362,13,226,0,23,41,76,1963,1816,1188,202,10,346,0,70,147,148,178,72,68,-160,-3,120,0,47,106,72
