_id,TRACT,2012
1,42003010300,19
2,42003020100,56
3,42003020300,7
4,42003030500,228
5,42003040200,53
6,42003040400,0
7,42003040500,1
8,42003040600,6
9,42003040900,29
10,42003050100,140
11,42003050600,78
12,42003050900,105
13,42003051000,30
14,42003051100,0
15,42003060300,133
16,42003060500,7
17,42003070300,1
18,42003070500,1
19,42003070600,1
20,42003070800,0
21,42003070900,0
22,42003080200,14
23,42003080400,4
24,42003080600,7
25,42003080700,26
26,42003080900,24
27,42003090100,45
28,42003090200,20
29,42003090300,45
30,42003100500,58
31,42003101100,81
32,42003101400,36
33,42003101600,52
34,42003101700,92
35,42003101800,9
36,42003110200,82
37,42003110600,55
38,42003111300,265
39,42003111400,84
40,42003111500,379
41,42003120300,166
42,42003120400,78
43,42003120700,26
44,42003120800,26
45,42003130100,73
46,42003130200,73
47,42003130300,69
48,42003130400,84
49,42003130600,118
50,42003140100,0
51,42003140200,0
52,42003140300,3
53,42003140400,1
54,42003140500,76
55,42003140600,9
56,42003140800,7
57,42003141000,0
58,42003141100,0
59,42003141300,46
60,42003141400,29
61,42003151600,7
62,42003151700,55
63,42003160800,42
64,42003160900,52
65,42003170200,17
66,42003170600,19
67,42003180300,173
68,42003180700,89
69,42003190300,7
70,42003191100,12
71,42003191400,72
72,42003191500,48
73,42003191600,86
74,42003191700,26
75,42003191800,43
76,42003191900,20
77,42003192000,65
78,42003202200,121
79,42003202300,1
80,42003210700,68
81,42003220600,55
82,42003240600,68
83,42003241200,14
84,42003250300,17
85,42003250700,17
86,42003250900,27
87,42003260200,73
88,42003260700,48
89,42003260900,0
90,42003261200,3
91,42003261400,126
92,42003261500,85
93,42003262000,30
94,42003270100,61
95,42003270300,75
96,42003270400,45
97,42003270800,30
98,42003271500,186
99,42003281400,171
100,42003281500,19
101,42003290100,72
102,42003290200,148
103,42003290400,125
104,42003300100,317
105,42003310200,7
106,42003310300,1
107,42003320400,17
108,42003320600,16
109,42003320700,14
110,42003401100,1
111,42003401200,17
112,42003401300,1
113,42003402000,16
114,42003403500,40
115,42003404000,3
116,42003405000,0
117,42003406000,0
118,42003407001,2
119,42003407002,1
120,42003408001,5
121,42003408002,0
122,42003409000,0
123,42003410000,0
124,42003411000,0
125,42003412001,0
126,42003412002,1
127,42003413100,0
128,42003413201,1
129,42003413202,3
130,42003413300,22
131,42003413400,0
132,42003413500,0
133,42003414101,0
134,42003414102,1
135,42003414200,0
136,42003415001,3
137,42003415002,0
138,42003416000,0
139,42003417100,6
140,42003417200,6
141,42003418000,0
142,42003419000,6
143,42003420000,3
144,42003421100,1
145,42003421200,7
146,42003422000,0
147,42003423000,4
148,42003424000,64
149,42003425000,42
150,42003426300,1
151,42003426400,5
152,42003426700,1
153,42003426800,0
154,42003427000,54
155,42003427100,1
156,42003427200,21
157,42003428100,7
158,42003428200,0
159,42003429100,4
160,42003429201,0
161,42003429202,0
162,42003429300,42
163,42003429400,4
164,42003429500,9
165,42003429600,2
166,42003429700,1
167,42003430100,8
