_id,geo_id_tract,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,42003010300,10,7,13,7,11,5,9,2,1,2
2,42003020100,0,0,0,0,0,1,1,0,0,0
3,42003020300,1,0,5,2,2,1,1,4,0,1
4,42003030500,4,7,2,5,6,16,12,5,3,7
5,42003040200,11,10,7,11,11,9,6,6,11,8
6,42003040400,1,2,4,1,0,1,0,1,0,0
7,42003040500,6,5,3,5,7,3,5,4,3,2
8,42003040600,2,4,4,10,4,2,3,8,2,5
9,42003040900,35,28,29,29,19,24,29,20,17,24
10,42003050100,13,16,3,5,3,16,10,7,11,12
11,42003050600,13,23,12,17,20,21,28,30,13,23
12,42003050900,1,1,1,1,0,4,2,0,0,4
13,42003051000,3,2,4,1,0,0,4,1,2,1
14,42003060300,54,58,43,33,35,58,57,40,35,43
15,42003060500,14,15,10,17,16,19,18,13,15,7
16,42003070300,20,24,16,23,17,12,26,15,12,15
17,42003070500,22,22,13,16,11,11,11,11,5,10
18,42003070600,13,13,8,8,7,8,9,5,5,4
19,42003070800,8,15,13,9,8,17,7,6,5,13
20,42003070900,29,23,17,20,23,17,14,13,17,22
21,42003080200,30,35,20,26,29,28,36,24,16,11
22,42003080400,17,13,13,14,13,11,11,9,3,9
23,42003080600,14,19,15,25,15,13,13,9,9,12
24,42003080700,4,6,5,4,9,8,7,3,2,3
25,42003080900,18,18,16,13,18,17,14,12,11,10
26,42003090100,52,67,63,58,59,49,42,36,40,31
27,42003090200,47,54,29,38,38,41,52,42,41,27
28,42003090300,27,30,12,23,18,23,25,27,28,16
29,42003100500,25,35,22,27,29,24,17,29,19,12
30,42003101100,48,51,62,58,47,74,65,55,42,40
31,42003101400,45,55,49,46,59,52,56,39,40,28
32,42003101600,4,5,7,7,5,5,5,3,3,5
33,42003101700,14,11,29,22,15,30,34,26,20,23
34,42003101800,36,35,36,56,45,34,43,44,29,33
35,42003110200,40,40,56,44,32,36,31,34,35,21
36,42003110600,33,41,40,37,30,30,36,26,33,27
37,42003111300,21,30,27,22,24,30,28,31,22,20
38,42003111400,16,11,8,9,22,14,17,8,13,6
39,42003111500,5,8,7,8,6,8,13,14,10,8
40,42003120300,12,10,18,12,9,11,7,7,13,9
41,42003120400,4,6,0,1,5,5,3,3,5,5
42,42003120700,5,1,6,1,5,5,2,3,2,8
43,42003120800,0,4,4,6,6,2,4,5,5,5
44,42003130100,13,8,10,8,9,8,10,8,10,12
45,42003130200,6,11,5,5,8,5,14,13,2,9
46,42003130300,5,5,5,4,8,7,4,3,5,5
47,42003130400,2,6,3,6,2,7,4,8,5,6
48,42003130600,19,12,9,13,18,12,16,17,24,14
49,42003140100,29,39,38,33,42,21,33,21,19,17
50,42003140200,18,15,12,18,13,18,23,10,6,18
51,42003140300,45,42,37,32,31,27,28,29,15,11
52,42003140400,33,40,19,36,41,23,31,20,21,24
53,42003140500,18,8,10,16,19,18,9,15,7,5
54,42003140600,45,44,36,57,31,29,29,22,32,24
55,42003140800,45,56,34,40,37,44,36,24,25,24
56,42003141000,13,18,24,14,13,13,16,2,9,8
57,42003141100,23,20,24,17,18,13,16,12,11,20
58,42003141300,55,40,33,33,26,30,31,21,18,20
59,42003141400,78,99,90,80,89,68,60,58,45,47
60,42003151600,30,40,35,37,35,30,29,26,29,23
61,42003151700,81,73,73,75,78,83,79,57,50,66
62,42003160800,51,36,59,34,49,33,51,33,38,47
63,42003160900,22,26,22,38,38,28,29,16,19,24
64,42003170200,88,83,91,76,89,85,89,67,59,83
65,42003170600,37,37,19,27,25,24,33,42,25,30
66,42003180300,19,37,22,30,29,41,44,45,23,30
67,42003180700,34,40,39,40,36,32,30,26,28,27
68,42003190300,24,31,30,30,22,28,28,24,17,19
69,42003191100,38,49,49,47,40,36,41,42,31,30
70,42003191400,33,46,40,25,38,44,41,47,28,30
71,42003191500,27,36,37,27,38,38,38,31,19,23
72,42003191600,43,51,65,58,67,40,64,42,53,45
73,42003191700,39,58,53,60,60,77,65,45,39,33
74,42003191800,78,82,84,103,95,97,105,78,71,76
75,42003191900,36,32,29,46,41,35,43,37,33,31
76,42003192000,45,56,52,50,50,57,63,52,38,49
77,42003202200,34,33,30,40,37,29,37,40,22,29
78,42003202300,32,35,41,45,37,42,50,29,31,27
79,42003210700,29,28,18,21,19,26,28,26,13,17
80,42003220600,29,31,23,30,30,21,21,15,10,16
81,42003240600,52,51,39,36,37,29,50,48,39,35
82,42003241200,6,14,9,6,4,10,9,14,6,14
83,42003250300,37,27,28,23,21,21,32,16,15,10
84,42003250700,4,8,6,8,3,9,7,4,7,3
85,42003250900,10,10,15,13,12,13,16,10,7,11
86,42003260200,31,49,30,35,34,47,37,29,30,27
