_id,geoid,quarter,ams_bus,ams_oth,ams_res,avg_ns_bus,avg_ns_oth,avg_ns_res,avg_vac_b,avg_vac_o,avg_vac_r,bus_vac,nostat_bus,nostat_oth,nostat_res,ns_12_24_b,ns_12_24_o,ns_12_24_r,ns_24_36_b,ns_24_36_o,ns_24_36_r,ns_36_bus,ns_36_oth,ns_36_res,ns_3_6_bus,ns_3_6_oth,ns_3_6_res,ns_3_bus,ns_3_oth,ns_3_res,ns_6_12_b,ns_6_12_o,ns_6_12_r,oth_vac,pqns_is_b,pqns_is_o,pqns_is_r,pqv_is_bus,pqv_is_oth,pqv_is_res,pqv_ns_bus,pqv_ns_oth,pqv_ns_res,res_vac,vac_12_24b,vac_12_24o,vac_12_24r,vac_24_36b,vac_24_36o,vac_24_36r,vac_36_bus,vac_36_oth,vac_36_res,vac_3_6_b,vac_3_6_o,vac_3_6_r,vac_3_bus,vac_3_oth,vac_3_res,vac_6_12b,vac_6_12o,vac_6_12r,total_address_count,total_avg_vac,total_no_stat,total_pqv_pqns_is,total_vac_count,new_addr_r,new_addr_b,new_addr_o,drop_add_r,drop_add_b,drop_add_o
1,42001030101,12-Mar,27,0,1050,1386,0,1233.52,0,0,287,0,2,0,90,1,0,16,0,0,3,1,0,50,0,0,9,0,0,3,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1077,287,92,1,3,,,,,,
2,42001030102,12-Mar,21,4,2238,532.5,0,1142.08,0,0,0,0,2,0,162,2,0,29,0,0,8,0,0,80,0,0,6,0,0,24,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,0,164,3,0,,,,,,
3,42001030200,12-Mar,59,11,2011,1110.36,0,1103.43,0,0,203,0,14,0,174,2,0,23,0,0,13,10,0,91,0,0,9,0,0,12,2,0,26,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2081,203,188,3,1,,,,,,
4,42001030300,12-Mar,23,16,1398,930.5,0,1484.5,0,0,0,0,6,0,154,3,0,18,1,0,8,2,0,111,0,0,3,0,0,1,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437,0,160,4,0,,,,,,
5,42001030400,12-Mar,43,14,1977,1484.86,0,1358.29,0,0,715,0,7,0,200,0,0,23,0,0,29,6,0,119,0,0,11,0,0,3,1,0,15,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2034,715,207,2,1,,,,,,
6,42001030500,12-Mar,58,10,1348,1716.15,0,1403.3,0,0,0,0,26,0,175,0,0,14,1,0,7,25,0,139,0,0,8,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,0,201,1,0,,,,,,
7,42001030600,12-Mar,242,44,2022,1709.96,0,1410.2,0,0,680,0,55,0,188,4,0,15,0,0,12,47,0,123,1,0,2,0,0,13,3,0,23,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308,680,243,2,1,,,,,,
8,42001030700,12-Mar,80,24,2654,808.37,0,1066.32,133,0,0,2,19,0,146,9,0,21,1,0,16,6,0,64,0,0,1,3,0,31,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2758,133,165,0,2,,,,,,
9,42001030800,12-Mar,156,180,3232,1621.22,0,1907.08,392,0,0,1,55,0,633,6,0,31,7,0,28,40,0,531,0,0,8,1,0,18,1,0,17,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3568,392,688,5,1,,,,,,
10,42001030900,12-Mar,189,38,3117,1479.71,0,1083.01,55,0,464.31,3,56,0,350,3,0,34,11,0,32,35,0,168,0,0,3,2,0,101,5,0,12,0,1,0,5,0,0,0,0,0,0,16,0,0,1,0,0,2,0,0,2,0,0,2,3,0,9,0,0,0,3344,519,406,6,19,,,,,,
