geoid,MSP1719,VSP1719,PHHOO,PNRofRCnt,PROSubHH,PViolAddre,pforc1719,pcond_flag,PVacLot,MVA21,ESRI_OID
420031014003,225000,0.449,0.588,0.004,0,0.004,0.013,0.004,0,B,1
420031014004,264950,0.178,0.841,0,0.109,0.003,0.007,0.003,0,C,2
420031016001,75000,0.915,0.265,0,0.569,0.006,0,0.036,0.009,F,3
420031017001,65000,0.927,0.606,0,0.07,0.009,0.036,0.052,0,G,4
420031017002,89000,0.815,0.476,0.004,0.33,0.004,0.006,0.023,0,G,5
420031018001,185000,0.291,0.899,0.002,0,0,0.008,0,0,C,6
420031018002,157500,0.557,0.858,0,0,0.002,0.011,0.011,0,E,7
420031102001,302500,0.493,0.297,0.005,0,0,0,0,0,B,8
420031102002,409000,0.407,0.538,0,0.078,0.005,0.005,0,0,A,9
420031102003,297500,0.377,0.414,0.003,0,0.003,0.015,0,0,B,10
420031102004,282500,0.622,0.602,0.003,0.15,0.003,0.008,0.005,0,B,11
420031106001,230000,0.576,0.723,0.002,0.118,0.002,0,0.002,0,C,12
420031106002,438000,0.268,0.915,0,0,0.003,0,0,0,A,13
420031106003,342750,0.413,0.367,0,0.034,0.009,0,0,0,B,14
420031113001,275000,0.476,0.305,0,0.331,0.015,0.016,0.011,0,B,15
420031113002,225000,0.55,0.34,0,0,0.012,0.01,0.012,0,B,16
420031113003,260500,0.557,0.319,0,0.139,0.026,0.017,0.006,0,B,17
420031113004,162500,0.768,0.345,0,0,0.027,0.008,0.022,0,D,18
420031114001,165000,0.684,0.306,0.011,0.27,0.033,0,0.02,0,D,19
420031114002,85500,0.944,0.489,0.008,0.679,0.016,0.016,0.091,0.003,F,20
420031115001,135000,0.921,0.234,0.005,0.216,0.024,0.011,0.011,0,D,21
420031115002,104250,1.019,0.058,0,0.445,0.035,0,0,0,D,22
420031115004,50000,0.555,0.093,0,0.169,0,0,0,0,G,23
420031203001,15000,0.991,0.345,0,0.139,0.008,0.017,0.008,0.004,J,24
420031203002,17000,1.628,0.674,0,0.921,0.014,0.016,0.041,0.006,I,25
420031204001,10000,1.544,0.309,0,0.427,0.021,0.065,0.043,0,J,26
420031207001,12050,1.058,0.404,0,0.478,0.017,0.046,0.035,0,J,27
420031208002,50000,0.304,0.316,0.004,0,0.012,0.027,0.034,0,G,28
420031301001,19000,0.895,0.394,0.002,0.813,0.02,0.044,0.053,0.01,I,29
420031301002,9000,0.949,0.443,0,0.265,0.011,0,0.046,0,J,30
420031301003,7500,1.047,0.255,0.002,0,0.016,0.038,0.063,0,J,31
420031302001,23500,1.343,0.624,0,0.319,0.02,0.038,0.059,0,H,32
420031302002,18000,0.913,0.511,0,0.164,0.026,0.01,0.026,0,J,33
420031303002,20000,1.286,0.565,0.022,1,0.013,0.037,0.034,0,I,34
420031303003,39950,0.624,0.283,0,0.255,0.032,0.011,0.025,0,H,35
420031304001,15100,1.058,0.66,0,0.219,0.03,0.016,0.036,0,J,36
420031304002,15854,0.937,0.472,0,0.539,0.023,0.029,0.072,0,I,37
420031306001,15000,0.767,0.305,0,0.09,0.014,0.012,0.033,0.01,J,38
420031306002,12500,1.094,0.303,0,0.268,0.033,0.011,0.021,0.014,J,39
420031306003,37000,0.6,0.353,0,0.219,0.041,0.009,0.011,0.008,H,40
420031401001,565000,0.402,0.784,0,0,0,0.008,0,0,A,41
420031401002,621798,0.562,0.789,0,0,0,0,0,0,A,42
420031401004,279500,0.654,0.604,0,0,0,0,0,0,B,43
420031402001,612500,0.662,0.582,0,0,0,0,0,0,A,44
420031402002,530000,1.219,0.377,0.003,0,0.006,0.011,0,0,A,45
420031403001,322000,0.512,0.568,0,0,0.008,0,0,0,B,46
420031403002,365000,0.547,0.447,0.003,0,0,0,0,0,B,47
420031403003,625000,0.51,0.688,0.003,0,0,0,0,0,A,48
420031403004,572500,0.473,0.511,0,0,0,0.013,0,0,A,49
420031404001,455500,0.424,0.838,0,0,0.003,0.004,0,0,A,50
420031404002,509800,0.475,0.867,0,0,0,0,0,0,A,51
420031404003,478000,0.459,0.72,0,0,0,0.003,0.003,0,A,52
420031405001,160000,0.531,0.371,0,0.256,0.017,0,0.009,0,D,53
420031405002,211250,0.379,0.271,0,0.014,0.006,0.058,0.028,0,B,54
420031405003,204000,0.679,0.344,0,0.02,0,0.006,0,0,B,55
420031406001,415000,0.366,0.719,0,0,0.002,0.005,0,0,A,56
420031406002,443750,0.275,0.802,0,0,0,0,0,0,A,57
420031406003,224000,0.427,0.355,0,0,0.003,0.013,0.009,0,B,58
420031408001,380000,0.492,0.726,0,0,0.003,0,0.005,0,A,59
420031408002,361750,0.495,0.445,0,0.023,0.002,0.009,0,0,B,60
420031408003,265000,0.467,0.325,0,0.236,0.005,0.022,0,0,B,61
420031410001,338350,0.27,0.803,0,0,0.003,0,0,0,A,62
420031411001,180000,0.532,0.891,0,0,0.001,0.011,0.002,0.001,C,63
420031413001,232250,0.865,0.445,0,0.048,0,0.004,0,0,B,64
420031413002,340000,0.376,0.266,0,0,0,0.026,0,0,B,65
420031413003,235000,0.306,0.276,0,0.016,0.002,0.004,0,0,B,66
420031414001,231125,0.336,0.844,0.002,0.098,0,0,0,0,C,67
420031414002,300500,0.498,0.934,0,0,0.004,0.025,0,0,C,68
420031414003,306275,0.436,0.591,0,0,0.003,0.009,0,0,B,69
420031414004,545000,0.442,0.366,0.048,0.009,0.003,0.003,0.012,0.003,A,70
420031414005,266000,0.542,0.155,0.008,0.011,0.079,0,0,0,B,71
420031516001,155000,0.468,0.615,0,0,0.007,0.022,0,0,D,72
420031516002,65000,0.793,0.607,0.003,0.29,0.013,0.014,0.013,0,G,73
420031516003,155000,0.352,0.605,0.012,0,0,0.032,0,0,D,74
420031517001,226467,0.395,0.496,0.003,0.015,0,0,0.006,0,B,75
420031517002,147000,0.371,0.43,0,0,0,0.008,0.034,0,D,76
420031517003,180000,0.37,0.799,0.014,0.127,0.007,0.009,0,0,C,77
420031517004,166500,0.402,0.789,0,0,0,0.011,0,0,C,78
420031517005,164500,0.368,0.383,0,0.019,0.01,0.006,0.003,0,D,79
420031517006,175000,0.369,0.545,0,0.025,0.004,0,0.002,0,D,80
420031608001,168000,0.518,0.276,0.003,0.16,0.01,0.018,0.013,0,D,81
420031608002,137500,0.577,0.454,0,0,0.005,0.006,0.003,0,D,82
420031608003,70227,0.664,0.662,0,0.054,0.002,0.005,0.012,0,G,83
420031608004,79450,0.693,0.399,0.01,0.032,0.007,0.011,0.009,0,G,84
420031609001,203750,0.42,0.112,0,0.045,0.026,0.015,0.007,0,B,85
420031609002,244000,0.532,0.334,0.018,0.128,0.008,0.007,0.003,0,B,86
420031702001,223500,0.569,0.329,0.023,0.119,0.017,0.026,0.007,0,B,87
420031702002,313000,0.472,0.61,0.013,0,0.007,0,0,0,B,88
420031702003,187450,0.514,0.283,0.002,0,0.004,0.006,0.002,0,D,89
420031702004,199125,0.406,0.555,0.002,0,0.004,0.007,0,0,B,90
420031706001,102500,1.006,0.479,0,0,0,0,0.015,0,D,91
420031706002,106900,0.828,0.493,0,0,0.015,0.036,0.003,0,D,92
420031706003,50000,0.66,0.593,0,0.136,0.009,0.013,0.024,0,G,93
420031803001,28250,1.816,0.372,0,0.443,0.017,0.022,0.03,0,H,94
420031803002,34250,1.063,0.163,0,0.217,0.03,0.029,0.016,0,H,95
420031803003,17250,0.95,0.414,0,0.454,0.019,0.011,0.024,0,J,96
420031807001a,96250,0.764,0.411,0,0,0.007,0.045,0,0,G,97
420031807001b,339000,1.053,0.411,0.008,0,0.008,0.03,0,0,B,98
420031807002,94000,0.58,0.583,0,0.19,0.009,0.018,0.003,0,G,99
420031807003,71250,0.657,0.338,0,0.433,0.009,0.038,0.007,0,G,100
420031903001,214950,0.801,0.634,0.006,0,0.002,0.003,0.002,0,C,101
420031903002,119900,0.449,0.521,0,0,0,0.004,0.01,0,D,102
420031911001,140000,0.762,0.765,0.005,0,0.003,0.002,0.002,0,E,103
420031911002,300000,0.64,0.588,0.004,0,0.001,0.005,0.003,0,B,104
420031914001,130000,0.847,0.241,0.002,0.085,0.01,0.005,0.008,0,D,105
420031914002,75000,1.105,0.531,0.008,0.061,0.001,0.027,0.012,0,G,106
420031915001,72500,0.69,0.791,0,0,0.01,0.009,0,0,G,107
420031915002,94000,0.729,0.269,0,0.102,0.017,0.038,0.003,0,D,108
420031916001,81000,0.473,0.659,0,0.063,0.002,0.011,0.01,0.002,G,109
420031916002,67500,0.6,0.795,0.002,0.31,0.01,0.007,0.003,0.002,G,110
420031916003,72500,0.459,0.577,0,0.019,0.007,0.021,0,0.007,G,111
420031916004,103500,0.451,0.682,0.003,0.078,0.017,0.004,0,0,E,112
420031916005,50000,0.61,0.568,0,0,0.008,0.037,0.009,0.005,G,113
420031917001a,118700,0.401,0.727,0,0,0.005,0.011,0.002,0.002,E,114
420031917001b,157500,0.317,0.727,0,0,0,0.006,0,0,E,115
420031917002,109950,0.363,0.808,0,0.104,0.004,0.01,0,0,E,116
420031917003,80000,0.532,0.675,0,0.017,0.003,0.029,0.007,0,G,117
420031918001,138820,0.37,0.53,0,0.171,0.008,0.01,0,0,D,118
420031918002,119000,0.416,0.89,0,0.125,0.003,0.036,0,0,E,119
420031918003,115000,0.427,0.558,0,0.181,0.003,0.017,0,0.003,D,120
420031918004,160000,0.34,0.793,0,0,0,0.019,0,0,E,121
420031918005,139777,0.409,0.838,0,0.218,0,0.011,0,0,E,122
420031918006,126325,0.329,0.912,0,0.39,0.004,0.014,0.005,0.002,E,123
420031918007,126000,0.312,0.823,0,0,0.019,0.015,0,0,E,124
420031919001,92900,0.494,0.848,0,0.212,0.003,0.017,0.003,0,E,125
420031919002,138250,0.41,0.525,0,0.038,0.016,0.03,0.006,0,D,126
420031919003,88500,0.472,0.288,0,0,0,0.013,0,0,G,127
420031920001,65000,0.631,0.648,0,0.091,0.003,0.012,0.003,0,G,128
420031920002,94000,0.42,0.599,0,0.114,0.012,0.025,0,0,G,129
420031920003,89035,0.609,0.559,0,0.174,0.008,0.004,0.01,0.01,G,130
420031920004,64000,0.607,0.646,0,0,0.018,0.011,0.003,0,G,131
420031920005,73263,0.486,0.661,0,0.169,0.003,0.022,0.004,0,G,132
420032022001,52250,0.781,0.58,0,0.196,0.016,0.026,0.002,0.003,G,133
420032022002,35000,0.682,0.683,0,0.337,0.03,0.027,0.009,0,H,134
420032022003,35000,0.925,0.681,0,0,0.052,0.009,0,0,H,135
420032023001,136000,0.493,0.298,0,0,0.013,0,0,0.025,D,136
420032023002,165750,0.388,1,0,0,0.002,0.022,0.002,0,C,137
420032023003,140000,0.363,0.939,0.003,0,0,0.016,0,0.003,E,138
420032023004,149000,0.293,0.38,0.005,0,0.003,0.022,0,0,D,139
420032107001,169500,0.717,0.39,0.002,0.692,0.009,0.021,0.029,0,F,140
420032107002a,46000,1.049,0.558,0,0,0.016,0,0.104,0,H,141
420032107002b,112000,0.887,0.558,0,0,0.004,0.01,0.048,0,E,142
420032206001,239849,0.527,0.334,0.006,0.344,0.004,0.011,0.023,0,B,143
420032206002,219475,0.565,0.391,0,0,0.017,0.015,0.032,0,B,144
420032406001a,59000,0.723,0.486,0,0,0.011,0.02,0.011,0.002,G,145
420032406001b,606500,0.129,0.486,0,0,0,0,0,0,A,146
420032406002,64000,0.825,0.462,0,0.108,0.019,0.005,0.018,0.002,G,147
420032412001,52975,0.82,0.769,0,0.25,0.004,0.025,0.043,0.042,G,148
420032412002,40000,1.161,0.681,0.003,0.056,0.008,0.005,0.132,0.003,H,149
420032503001,121500,0.713,0.455,0.009,0.014,0.004,0.041,0.022,0,D,150
420032507001,90053,0.412,0.398,0.014,0.149,0.009,0.027,0.018,0.003,G,151
420032509001,42250,0.981,0.291,0,0.621,0.015,0.008,0.024,0,H,152
420032509002,56500,0.94,0.696,0,0.121,0.008,0.023,0.027,0,G,153
420032602001,78000,0.718,0.645,0,0.155,0.006,0.023,0.007,0.003,G,154
420032602002,41750,0.735,0.712,0,0.239,0.002,0.009,0.003,0,H,155
420032602003,95000,0.55,0.718,0,0.075,0.014,0.007,0.015,0,E,156
420032607001,81500,0.738,0.524,0.018,0,0.012,0,0.011,0.003,G,157
420032607002,90000,0.666,0.746,0,0.398,0.01,0.02,0.008,0,G,158
420032612001,119000,0.338,0.74,0.004,0,0,0.014,0,0.002,E,159
420032614001,55750,0.652,0.403,0.023,0.175,0.012,0.049,0.018,0,G,160
420032614002,65000,0.961,0.605,0,0,0.006,0.013,0.027,0.006,G,161
420032614003,28000,0.756,0.396,0,0.62,0.023,0.022,0.038,0,I,162
420032614004,37450,0.966,0.442,0,0.123,0.006,0.033,0.054,0.008,H,163
420032615001,30000,1.264,0.516,0,0.05,0.011,0.031,0.03,0.002,H,164
420032615002,45000,0.865,0.425,0.003,0.204,0.008,0.012,0.01,0.003,H,165
420032620001,44200,0.731,0.703,0,0.011,0.011,0.009,0.018,0.007,H,166
420032620002,108000,0.632,0.226,0,0.035,0.057,0.03,0,0,D,167
420032620003,37000,0.811,0.704,0.002,0.056,0.012,0.008,0.035,0.002,H,168
420032701001,143500,0.45,0.829,0,0.175,0.005,0.007,0.002,0,E,169
420032701002,103050,0.598,0.614,0,0,0.016,0.033,0.002,0.002,E,170
420032703001,75000,0.612,0.546,0,0.097,0.021,0.031,0.007,0.002,G,171
420032703002,56750,0.69,0.42,0,0.311,0.015,0.041,0.004,0,G,172
420032704001,42500,0.729,0.691,0,0.522,0.018,0.026,0.006,0.002,H,173
420032708001,135950,0.461,0.73,0,0.173,0.003,0.023,0,0,E,174
420032708002,106900,0.587,0.656,0,0.329,0.007,0.037,0.01,0,E,175
420032708003,152500,0.459,0.755,0,0.057,0.004,0.009,0,0.006,E,176
420032715001,26250,0.785,0.838,0,0.289,0.012,0.02,0.018,0.002,H,177
420032715002,33250,0.824,0.7,0,0.397,0.02,0.019,0.018,0,H,178
420032715003,40000,0.618,0.592,0,0.373,0.011,0.041,0.01,0.003,H,179
420032814001,79500,0.664,0.836,0,0,0.006,0.025,0.008,0.002,G,180
420032814002,80000,0.594,0.392,0,0.426,0.013,0.033,0.005,0.002,G,181
420032815001,72250,0.616,0.727,0,0,0.008,0.007,0.005,0.011,G,182
420032815002,62700,0.615,0.64,0,0.092,0.004,0.009,0.007,0,G,183
420032901001,31637,1.341,0.508,0,0.128,0.011,0.016,0.011,0.003,H,184
420032901002,50000,0.783,0.612,0,0.355,0.014,0.025,0,0,G,185
420032901003,62000,0.561,0.621,0,0.149,0.009,0.005,0.003,0.003,G,186
420032902001,55000,0.692,0.686,0,0.146,0.016,0.021,0.002,0.004,G,187
420032902002,73750,0.689,0.448,0.004,0.256,0.018,0.01,0,0.007,G,188
420032902003,64100,0.568,0.708,0,0.132,0.011,0.012,0,0,G,189
420032902004,60000,0.558,0.442,0,0.286,0.008,0.033,0.004,0,G,190
420032902005,52000,0.919,0.46,0,0.224,0.026,0.053,0.003,0,G,191
420032904001,73500,0.465,0.873,0,0.903,0.011,0.009,0.004,0,F,192
420032904002,66875,0.597,0.6,0,0.156,0.026,0.011,0.002,0,G,193
420032904003,67500,0.504,0.72,0,0.324,0.009,0.014,0.006,0,G,194
420032904004,80000,0.562,0.575,0,0,0.013,0.02,0.005,0.003,G,195
420032904005,69900,0.519,0.523,0,0.322,0.021,0.019,0,0,G,196
420033001001,21000,0.725,0.45,0,0.273,0.016,0.074,0.007,0,H,197
420033001002,16000,0.867,0.734,0,1,0.017,0.018,0.023,0,I,198
420033001003,19000,0.625,0.609,0,0.838,0.041,0.013,0.012,0,I,199
420033001004,17500,1.87,0.533,0,0.776,0.019,0.015,0.003,0,I,200
420033001005,31000,0.701,0.755,0,0,0.033,0.014,0.009,0,H,201
420033001006,27042,0.757,0.682,0,0,0.036,0.017,0,0,H,202
420033102001,103000,0.424,0.926,0,0.143,0.003,0.027,0,0,E,203
420033102002,101100,0.559,0.908,0,0,0.003,0.024,0,0.012,E,204
420033102003,81000,0.414,1,0,0,0.003,0.029,0.008,0.003,G,205
420033102004,91000,0.433,0.863,0,0,0,0.016,0.006,0.01,E,206
420033102005,47000,0.709,0.866,0,0.179,0.003,0.024,0.003,0,G,207
420033103001,129900,0.744,0.976,0.001,0,0,0.015,0.012,0.058,E,208
420033204001,50500,0.558,0.676,0,0.052,0.009,0,0.003,0.003,G,209
420033204002,66000,0.545,0.971,0,0.375,0,0.011,0,0.003,G,210
420033204003,63750,0.566,0.791,0,0.048,0.013,0.004,0.007,0,G,211
420033206001,120000,0.453,0.762,0.003,0.008,0.009,0.003,0.002,0.014,E,212
420033206002,121700,0.415,0.898,0,0.188,0.004,0.009,0,0.002,E,213
420033207001,78750,0.544,0.873,0,0,0.01,0.026,0.002,0.003,G,214
420033207002,57750,0.724,0.796,0,0,0.016,0.024,0,0.004,G,215
420034011001,88000,0.663,0.634,0.002,0.336,0.009,0.015,0.002,0.016,G,216
420034011002,135000,0.531,0.943,0.014,1,0.001,0.016,0.008,0.004,F,217
420034011003,114000,0.513,0.769,0,0,0.005,0.02,0,0,E,218
420034011004,93000,0.457,0.784,0,0,0.002,0.026,0.002,0.004,E,219
420034012001,12000,0.905,0.362,0.003,0.009,0.024,0.016,0.16,0,J,220
420034012002,75250,0.703,0.253,0,0.017,0.024,0.008,0.057,0.008,G,221
420034012003,29101,0.774,0.72,0,0,0.008,0.044,0.06,0.003,H,222
420034012004,83000,0.594,0.674,0,0.045,0,0.026,0.019,0.003,G,223
420034013001,96900,0.429,0.861,0,0,0.003,0.015,0.003,0,E,224
420034013002,63500,0.571,0.91,0,0,0,0.03,0.007,0.009,G,225
420034013003,150000,0.462,0.924,0,0,0.002,0.003,0.003,0.025,E,226
420034020001,75100,0.55,0.878,0,0.04,0,0.011,0,0,G,227
420034020002,63900,0.664,0.631,0,0,0,0.043,0.007,0.007,G,228
420034020003,55950,0.626,0.624,0,0.024,0.008,0.02,0.009,0.002,G,229
420034020004,30500,0.786,0.383,0,0.934,0.027,0.007,0.013,0.003,I,230
420034035001,33744,0.658,0.827,0,0.214,0,0.011,0.018,0.025,H,231
420034035002,60000,0.676,0.706,0,0.431,0.012,0.013,0.003,0.006,G,232
420034035003,33750,0.623,0.478,0,0.144,0.007,0.015,0.013,0.002,H,233
420034035004,36500,0.756,0.2,0,0.591,0.013,0.01,0.015,0,H,234
420034035005,29700,0.697,0.269,0,0.07,0.003,0.045,0.067,0,H,235
420034040001,63000,0.731,0.597,0,0,0.002,0.015,0.011,0.025,G,236
420034050001,124570,0.557,0.946,0.009,0,0,0.004,0.021,0.024,E,237
420034050002,125000,0.464,0.901,0.006,0,0,0.021,0.027,0.054,E,238
420034060001,111000,0.919,0.866,0.001,0,0,0.003,0.025,0.028,E,239
420034060002,151104,1.776,0.846,0.006,0,0.006,0.008,0.008,0.018,E,240
420034070011,126000,0.507,0.859,0.006,0,0,0,0.014,0.034,E,241
420034070012,84000,0.764,0.632,0.005,0,0.003,0.005,0.007,0.02,G,242
420034070013,195000,0.549,0.821,0,0.299,0.003,0.015,0.002,0.011,C,243
420034070014,267000,0.403,0.932,0.022,0,0,0.003,0.004,0.011,C,244
420034070021,100500,0.658,0.749,0,0,0.012,0.012,0.002,0.013,E,245
420034070022,137500,0.54,0.874,0.004,0,0.001,0.011,0.006,0.026,E,246
420034070023,250000,0.562,1,0.006,0,0.006,0.011,0.005,0.017,C,247
420034070024,233000,0.256,0.917,0.034,0,0.001,0.007,0,0,C,248
420034080011,336000,0.335,0.831,0.006,0,0,0.013,0.005,0.005,A,249
420034080012,240000,0.574,0.846,0,0,0.001,0.007,0.005,0.026,C,250
420034080013,265000,0.621,0.58,0.002,0,0,0.007,0,0.004,B,251
420034080021,251000,0.352,0.978,0.003,0,0.004,0.006,0,0.004,C,252
420034080022,212500,0.409,0.845,0.002,0,0.004,0.001,0.004,0.004,C,253
420034090001,606500,0.382,0.965,0.077,0,0,0.005,0,0.001,A,254
420034090002,510000,0.404,1,0.11,0,0,0.002,0,0,A,255
420034090003,405010,0.435,0.913,0.088,0,0,0.004,0.002,0.001,A,256
420034090004,307500,0.387,0.454,0,0,0,0.002,0,0.006,B,257
420034100001,347500,0.478,0.947,0,0.56,0,0.007,0,0.002,A,258
420034110001,340000,0.673,0.784,0.279,0,0.001,0.005,0,0.002,A,259
420034110002,290000,0.474,0.882,0.014,0,0,0.004,0,0,C,260
420034110003,411500,0.694,0.988,0.054,0,0,0.002,0,0.002,A,261
420034120011,412500,0.396,0.854,0.004,0,0,0.004,0.001,0.005,A,262
420034120012,372470,0.484,0.848,0.154,0,0,0.007,0.001,0.005,A,263
420034120013,210000,0.434,0.813,0.003,0,0.001,0.008,0.001,0.001,C,264
420034120014,400000,0.348,1,0.002,0,0,0.001,0,0.001,A,265
420034120021,535500,0.391,0.93,0.066,0,0,0.003,0,0.002,A,266
420034120022,400300,0.376,1,0.063,0,0,0.001,0,0.005,A,267
420034131001,451800,0.357,1,0.004,0,0,0.018,0,0.002,A,268
420034131002,208900,0.495,0.52,0,0,0,0.008,0,0.002,B,269
420034131003,330500,0.598,0.776,0,0,0,0.015,0,0.004,A,270
420034131004,265000,0.33,0.864,0.002,0,0,0.001,0.001,0.002,C,271
420034132011,205250,0.374,0.9,0.006,0,0,0.003,0,0.003,C,272
420034132012,260000,0.291,0.952,0,0,0.002,0.002,0.002,0.002,C,273
420034132013,217000,0.263,0.691,0.002,0,0,0.002,0,0.003,C,274
420034132021,202250,0.606,0.865,0.004,0,0.004,0.015,0.002,0.008,C,275
420034132022,191200,0.476,0.825,0,0,0.001,0.004,0,0.001,C,276
420034133001,234454,0.267,0.931,0,0,0.001,0.006,0.002,0.006,C,277
420034133002,200000,0.525,0.902,0,0,0.002,0.01,0,0.01,C,278
420034133003,288200,0.133,1,0.004,0,0,0,0,0.004,C,279
420034134001,282500,0.354,0.912,0,0,0,0.013,0,0,C,280
420034134002,206000,0.334,0.704,0,0,0,0.005,0,0,C,281
420034134003,312950,0.253,0.979,0,0,0,0.002,0,0.002,C,282
420034135001,230000,0.774,1,0,0,0,0.012,0,0.005,C,283
420034135002,255000,0.376,0.603,0,0,0.003,0,0,0.002,B,284
420034135003,245000,0.345,0.533,0,0,0,0.003,0,0,B,285
420034135004,260000,0.399,0.259,0,0,0.016,0.004,0,0,B,286
420034141011,205000,0.372,0.986,0,0,0,0,0,0.003,C,287
420034141012,282950,0.655,1,0.002,0,0,0.002,0,0.006,C,288
420034141013,285000,0.495,0.887,0.072,0,0.009,0.004,0,0.006,C,289
420034141014,326210,0.256,1,0,0,0,0.008,0,0.005,A,290
420034141021,254500,0.683,0.655,0.028,0,0,0.004,0,0.022,B,291
420034141022,290000,0.414,0.736,0.002,0,0.002,0.007,0,0.013,B,292
420034141023,254000,0.692,0.959,0.001,0,0,0.01,0.003,0.002,C,293
420034142001,344000,0.568,0.89,0,0,0,0.006,0.002,0.005,A,294
420034142002,182000,0.434,0.808,0,0,0.002,0.008,0.003,0.026,C,295
420034142003,185000,0.494,0.893,0.002,0,0,0.014,0,0.006,C,296
420034150011,238500,0.705,0.961,0.002,0,0.005,0.009,0,0.017,C,297
420034150012a,44000,0.588,0.889,0,0,0,0.004,0.015,0.012,G,298
420034150012b,399000,0.614,0.889,0.002,0,0,0.007,0.008,0,A,299
420034150013,163000,0.991,0.865,0.001,0,0,0.017,0.005,0.014,E,300
420034150021,290000,0.757,0.872,0.003,0,0.002,0.016,0.006,0.005,C,301
420034150022,196000,0.811,0.863,0,0,0,0,0,0.004,C,302
420034160001,128500,0.553,0.761,0.004,0,0.002,0.012,0.007,0.006,E,303
420034160002,102000,0.483,0.878,0.005,0,0.005,0.015,0.006,0.012,E,304
420034171001,102300,0.509,0.741,0,0,0,0.015,0,0,E,305
420034171002,85850,0.435,0.728,0.003,0,0,0.022,0,0,G,306
420034171003,95000,0.427,0.887,0,0,0.003,0.018,0,0,E,307
420034172001,89950,0.37,0.467,0.002,0,0.002,0.02,0.009,0,G,308
420034180001,120000,0.389,0.845,0,0.032,0.001,0.007,0,0.005,E,309
420034190001,89900,0.623,0.812,0.142,0,0,0.003,0.017,0.009,E,310
420034190002,65500,0.575,0.614,0.003,0,0.003,0.008,0.003,0,G,311
420034190003,232500,0.789,0.683,0,0,0.017,0.007,0.008,0.005,C,312
420034200001,125500,0.664,0.404,0.002,0.362,0.007,0.009,0.004,0,D,313
420034211001,297450,0.599,0.863,0.008,0,0,0.002,0,0.02,C,314
420034211002,154200,0.69,0.673,0,0,0,0.011,0.003,0.015,E,315
420034211003,408600,0.365,0.588,0,0.109,0,0,0,0.003,A,316
420034211004,295000,0.318,0.847,0,0,0,0,0,0,C,317
420034212001,212500,0.591,0.948,0.007,0,0,0.001,0.001,0.013,C,318
420034212002,250000,0.667,0.804,0.008,0,0.002,0.019,0.002,0.01,C,319
420034212003,227000,0.371,1,0,0,0,0,0,0,C,320
420034212004,350750,0.349,0.939,0.01,0,0,0.005,0,0.008,A,321
420034220001,647500,0.498,1,0,0,0,0.013,0.003,0.001,A,322
420034220002,799000,0.618,0.898,0,0,0,0,0,0,A,323
420034220003,612000,0.599,1,0,0,0,0,0,0.006,A,324
420034220004,574950,0.564,0.952,0,0,0.001,0,0,0,A,325
420034230001,240000,0.554,0.449,0.003,0,0.007,0.005,0,0,B,326
420034230002,300000,0.423,0.731,0,0,0.005,0.005,0.003,0,B,327
420034230003,280000,0.353,0.666,0,0,0,0,0.003,0,B,328
420034240001,64950,0.628,0.567,0.005,0.061,0.008,0,0.019,0.005,G,329
