tract,unemployed,income_household_mean
42003010302,3.8,50125
42003020100,2.1,129005
42003020300,8.1,138179
42003030500,8.2,46432
42003040200,4.1,35329
42003040400,0.4,74723
42003040500,4.0,19936
42003040600,6.5,31791
42003040900,4.8,33136
42003050100,0.0,36571
42003050600,6.3,60040
42003050900,10.5,26594
42003051000,4.4,22677
42003051100,18.0,19902
42003060300,0.3,102618
42003060500,1.5,70583
42003070300,1.3,108905
42003070500,1.2,80710
42003070600,2.2,96601
42003070800,1.6,99179
42003070900,3.3,83115
42003080200,4.5,72253
42003080400,1.9,54851
42003080600,4.4,87364
42003080700,2.0,53637
42003080900,2.7,79571
42003090100,0.5,121122
42003090200,3.4,79604
42003090300,0.6,73494
42003100500,1.7,79767
42003101100,2.3,72875
42003101400,1.9,74898
42003101800,4.5,88137
42003101900,3.5,63996
42003110200,0.6,95244
42003110600,0.9,117563
42003111300,3.4,88180
42003111400,6.2,70633
42003111500,1.4,48396
42003120300,0.0,77080
42003120900,7.2,34195
42003130200,1.6,52781
42003130600,9.9,42526
42003130700,6.1,29688
42003130800,1.7,27481
42003140100,3.3,239541
42003140200,2.7,119899
42003140300,2.1,156437
42003140400,0.6,228808
42003140500,4.6,81202
42003140800,1.9,111114
42003141100,3.1,108009
42003141200,2.2,139197
42003141300,1.6,88055
42003141400,0.0,116241
42003151600,5.4,68723
42003151700,2.3,67617
42003160800,3.4,60825
42003160900,1.4,94264
42003161000,11.9,52371
42003170200,0.3,71991
42003170600,3.6,67448
42003180300,4.1,50314
42003180700,0.4,77204
42003190300,4.4,112524
42003191100,0.4,93126
42003191400,1.2,74039
42003191500,10.3,63295
42003191600,2.2,62715
42003191700,2.7,79811
42003191800,0.4,67318
42003191900,0.7,64476
42003192000,3.6,66513
42003202200,11.5,53776
42003202300,1.9,76302
42003241300,1.6,80330
42003250900,11.4,42964
42003260200,8.2,62663
42003260700,4.2,81166
42003261300,3.3,53973
42003261400,4.0,58531
42003261500,2.8,45353
42003262000,7.0,45446
42003270100,0.7,73999
42003270300,2.6,61176
42003270800,6.2,78260
42003271600,2.9,46873
42003281400,3.0,52568
42003281500,3.9,59502
42003290100,4.5,45247
42003290200,5.7,54716
42003290400,4.8,56206
42003300100,11.2,50015
42003310200,5.5,67363
42003320400,3.8,64469
42003320600,8.8,81021
42003320700,3.3,73398
42003401100,1.7,80338
42003401200,6.1,51598
42003401300,1.6,79322
42003402000,1.6,45580
42003403500,5.7,41784
42003404000,3.8,65332
42003405000,1.2,91283
42003406000,3.7,73419
42003407001,2.2,92944
42003407002,1.7,86578
42003408001,0.9,143049
