tract,movedin_last_decade
42003010302,86.89999999999999
42003020100,85.4
42003020300,95.4
42003030500,61.8
42003040200,62.5
42003040400,70.3
42003040500,83.10000000000001
42003040600,86.9
42003040900,78.0
42003050100,66.6
42003050600,50.599999999999994
42003050900,56.8
42003051000,78.7
42003051100,100.0
42003060300,70.5
42003060500,53.4
42003070300,75.2
42003070500,86.79999999999998
42003070600,81.7
42003070800,86.6
42003070900,80.10000000000001
42003080200,64.0
42003080400,86.1
42003080600,76.30000000000001
42003080700,82.99999999999999
42003080900,70.0
42003090100,68.9
42003090200,56.8
42003090300,55.7
42003100500,40.8
42003101100,61.099999999999994
42003101400,36.7
42003101800,35.599999999999994
42003101900,60.199999999999996
42003110200,56.400000000000006
42003110600,50.0
42003111300,73.2
42003111400,71.0
42003111500,82.30000000000001
42003120300,42.0
42003120900,55.3
42003130200,30.5
42003130600,44.9
42003130700,46.1
42003130800,43.3
42003140100,51.6
42003140200,77.6
42003140300,47.2
42003140400,42.900000000000006
42003140500,77.7
42003140800,58.199999999999996
42003141100,32.2
42003141200,41.699999999999996
42003141300,74.0
42003141400,63.6
42003151600,52.4
42003151700,44.900000000000006
42003160800,49.7
42003160900,85.4
42003161000,61.0
42003170200,77.9
42003170600,67.80000000000001
42003180300,56.8
42003180700,53.4
42003190300,64.1
42003191100,55.5
42003191400,75.0
42003191500,62.7
42003191600,36.1
42003191700,44.4
42003191800,40.400000000000006
42003191900,54.4
42003192000,42.6
42003202200,52.4
42003202300,59.10000000000001
42003241300,64.19999999999999
42003250900,60.9
42003260200,43.599999999999994
42003260700,45.2
42003261300,64.1
42003261400,54.7
42003261500,65.1
42003262000,47.0
42003270100,46.7
42003270300,51.8
42003270800,56.400000000000006
42003271600,49.8
42003281400,46.5
42003281500,49.0
42003290100,45.0
42003290200,48.9
42003290400,56.5
42003300100,43.7
42003310200,17.9
42003320400,39.3
42003320600,37.9
42003320700,36.400000000000006
42003401100,35.7
42003401200,46.9
42003401300,28.799999999999997
42003402000,46.7
42003403500,35.5
42003404000,54.8
42003405000,23.2
42003406000,31.6
42003407001,40.7
42003407002,32.0
42003408001,44.6
42003408002,32.3
42003409001,50.400000000000006
42003409002,36.800000000000004
42003410000,39.2
42003411001,34.1
42003411002,61.5
42003412002,34.0
42003412003,43.9
42003412004,51.8
42003413100,53.0
42003413201,42.2
42003413202,31.299999999999997
42003413300,33.4
42003413400,39.8
42003413500,69.3
42003414101,30.799999999999997
42003414102,45.0
42003414200,28.4
42003415001,32.0
42003415002,31.5
42003416000,38.0
42003417100,33.0
42003417200,40.0
42003418000,34.0
42003419000,51.9
42003420000,46.8
42003421100,47.5
42003421200,40.3
42003422000,35.900000000000006
42003423000,48.7
42003424000,54.0
42003425000,58.900000000000006
42003426300,36.0
42003426400,37.5
42003426700,49.2
42003426800,23.8
42003427000,46.0
42003427100,32.8
42003427200,38.8
42003428100,24.5
42003428200,28.7
42003429100,49.900000000000006
42003429201,44.7
42003429202,30.5
42003429300,40.4
42003429400,37.4
42003429500,66.4
42003429600,49.2
42003429700,32.9
42003430100,46.2
42003430200,37.599999999999994
42003431100,66.2
42003431400,49.5
42003431500,71.0
42003432300,64.9
42003432400,52.4
42003434000,48.7
42003435000,45.4
42003437000,61.0
42003439000,35.099999999999994
42003445500,58.89999999999999
42003446000,39.3
42003447000,47.6
42003448000,50.6
42003449000,36.6
42003450700,60.099999999999994
42003450800,55.8
42003451101,45.099999999999994
42003451102,49.1
42003451104,39.8
42003451105,68.0
42003451300,29.6
42003452000,50.599999999999994
42003453003,30.099999999999998
42003453004,55.199999999999996
42003455000,38.6
42003456001,41.2
42003456003,48.1
42003456004,60.400000000000006
42003457100,38.2
42003457200,55.8
42003458001,56.099999999999994
42003458002,37.8
42003459101,25.4
42003459102,44.0
42003459201,56.3
42003459202,68.30000000000001
42003460001,41.6
42003460002,46.2
42003461000,51.099999999999994
42003462100,57.199999999999996
42003462600,49.7
42003463900,57.3
42003464300,37.3
42003464400,49.800000000000004
42003465600,60.5
42003465800,39.7
42003468700,44.2
42003468800,63.0
42003468900,48.0
42003469000,44.5
42003470300,38.9
42003470400,34.8
42003470501,77.3
42003470502,43.300000000000004
42003470600,49.8
42003471000,59.7
42003472100,59.8
42003472200,59.0
42003472300,61.49999999999999
42003472400,34.7
42003473100,53.5
42003473200,52.599999999999994
42003473300,48.0
42003473401,60.400000000000006
42003473402,51.7
42003473500,39.6
42003473601,39.599999999999994
42003473602,45.0
42003474101,32.300000000000004
42003474102,44.0
42003474201,35.400000000000006
42003474202,37.5
42003474203,24.200000000000003
42003475101,51.6
42003475102,31.0
42003475200,36.7
42003475301,31.8
42003475303,31.9
42003475304,40.8
42003475401,31.5
42003475402,37.3
42003476100,57.39999999999999
42003476200,40.0
42003477100,37.9
42003477200,32.2
42003477300,51.6
42003478100,43.9
42003478200,41.1
42003479000,30.700000000000003
42003480101,61.400000000000006
42003480102,30.299999999999997
42003480200,30.6
42003480300,36.8
42003480400,35.900000000000006
42003481000,57.8
42003482500,48.3
42003483800,49.1
42003484300,52.7
42003484500,28.4
42003484600,42.0
42003485000,44.599999999999994
42003486700,62.7
42003486800,55.5
42003486900,37.1
42003487000,32.8
42003488100,29.4
42003488200,42.3
42003488300,24.0
42003488400,35.3
42003488500,35.2
42003488600,32.1
42003489001,44.5
42003489002,29.4
42003490002,47.5
42003490003,39.099999999999994
42003490004,34.8
42003491101,35.5
42003491200,37.9
42003492700,59.1
42003492800,40.4
42003492900,58.599999999999994
42003494000,38.9
42003495000,38.2
42003496101,29.8
42003496102,20.7
42003496200,41.8
42003497000,29.8
42003498000,33.400000000000006
42003499300,34.4
42003499400,49.3
42003500300,37.8
42003501000,48.8
42003503002,47.3
42003504100,53.699999999999996
42003507000,35.4
42003508000,63.5
42003509400,53.1
42003510000,60.3
42003512000,41.0
42003513000,40.8
42003513800,42.0
42003514000,51.8
42003515100,52.0
42003515200,56.3
42003515300,64.89999999999999
42003515401,45.6
42003516100,57.599999999999994
42003516200,61.2
42003517000,46.900000000000006
42003518001,49.400000000000006
42003519000,39.5
42003520001,44.2
42003520002,50.9
42003521100,32.5
42003521200,43.7
42003521301,54.6
42003521302,62.0
42003521401,40.400000000000006
42003521402,33.3
42003521500,40.5
42003522000,58.9
42003523100,29.0
42003523200,42.7
42003523300,27.700000000000003
42003523400,53.39999999999999
42003523501,26.5
42003523502,28.6
42003523600,31.9
42003523701,34.9
42003523702,47.5
42003523800,47.099999999999994
42003524000,48.900000000000006
42003525100,40.4
42003525200,69.5
42003525300,60.6
42003526101,41.8
42003526102,41.9
42003526201,26.6
42003526202,26.0
42003526301,23.700000000000003
42003526302,39.3
42003550900,60.7
42003551200,56.699999999999996
42003551300,27.0
42003551900,60.5
42003552000,42.9
42003552100,70.6
42003552200,38.3
42003552300,40.9
42003552400,46.1
42003560400,77.1
42003560500,70.1
42003561400,57.4
42003561500,44.5
42003561900,45.5
42003562000,76.9
42003562300,52.3
42003562400,49.5
42003562500,53.60000000000001
42003562600,62.4
42003562700,84.1
42003562800,55.5
42003562901,43.9
42003563000,50.9
42003563100,48.6
42003563201,95.1
42003563202,72.7
42003563300,42.1
42003563800,45.5
42003563900,58.2
42003564000,51.0
42003564100,22.4
42003564200,28.6
42003564400,37.099999999999994
42003564500,22.0
42003564700,71.4
42003564800,52.1
42003565100,69.5
42003565200,60.5
42003565300,28.900000000000002
42003980500,21.7
42003980600,0.0
42003982200,55.6
