tract,housing_units_total
42003010301,0
42003010302,493
42003020100,2643
42003020300,1108
42003030500,1865
42003040200,642
42003040400,1344
42003040500,1397
42003040600,1151
42003040900,1911
42003050100,989
42003050600,1073
42003050900,776
42003051000,892
42003051100,175
42003060300,1495
42003060500,877
42003070300,1197
42003070500,1971
42003070600,1433
42003070800,1668
42003070900,2730
42003080200,1092
42003080400,1003
42003080600,1355
42003080700,1354
42003080900,1231
42003090100,1310
42003090200,1587
42003090300,1020
42003100500,906
42003101100,1446
42003101400,1684
42003101800,1378
42003101900,1269
42003110200,2477
42003110600,1148
42003111300,1581
42003111400,735
42003111500,2216
42003120300,872
42003120900,851
42003130200,653
42003130600,1544
42003130700,1513
42003130800,1489
42003140100,1072
42003140200,1024
42003140300,1507
42003140400,987
42003140500,1315
42003140800,2017
42003141100,610
42003141200,1938
42003141300,2399
42003141400,2942
42003151600,1416
42003151700,2951
42003160800,1585
42003160900,2328
42003161000,1409
42003170200,2583
42003170600,1104
42003180300,1203
42003180700,1080
42003190300,1215
42003191100,1513
42003191400,1872
42003191500,1071
42003191600,2003
42003191700,1673
42003191800,2633
42003191900,1138
42003192000,1778
42003202200,1324
42003202300,2076
42003241300,2129
42003250900,686
42003260200,1061
42003260700,842
42003261300,1058
42003261400,1303
42003261500,885
42003262000,1280
42003270100,1335
42003270300,992
42003270800,1427
42003271600,2302
42003281400,1227
42003281500,640
42003290100,993
42003290200,2206
42003290400,2202
42003300100,1702
42003310200,1632
42003320400,964
42003320600,1108
42003320700,821
42003401100,2210
42003401200,1745
42003401300,1194
42003402000,1771
42003403500,2487
42003404000,820
42003405000,550
42003406000,1047
42003407001,2613
42003407002,2922
42003408001,2111
42003408002,2400
42003409001,3315
42003409002,1621
42003410000,501
42003411001,1375
42003411002,2143
42003412002,1736
42003412003,2228
42003412004,1556
42003413100,2701
42003413201,1538
42003413202,1262
42003413300,1863
42003413400,1715
42003413500,3470
42003414101,2019
42003414102,2907
42003414200,2298
42003415001,1638
42003415002,1141
42003416000,846
42003417100,1028
42003417200,661
42003418000,909
42003419000,1700
42003420000,954
42003421100,2131
42003421200,1958
42003422000,1862
42003423000,1316
42003424000,1970
42003425000,1703
42003426300,2541
42003426400,2118
42003426700,1285
42003426800,2133
42003427000,2222
42003427100,2391
42003427200,2483
42003428100,606
42003428200,969
42003429100,1224
42003429201,2016
42003429202,1835
42003429300,2498
42003429400,1931
42003429500,2387
42003429600,1613
42003429700,1040
42003430100,1042
42003430200,2041
42003431100,1907
42003431400,994
42003431500,2022
42003432300,1534
42003432400,1457
42003434000,862
42003435000,1191
42003437000,2767
42003439000,614
42003445500,1936
42003446000,666
42003447000,711
42003448000,633
42003449000,1149
42003450700,1855
42003450800,1349
42003451101,1542
42003451102,2232
42003451104,1371
42003451105,2355
42003451300,3379
42003452000,2752
42003453003,735
42003453004,3493
42003455000,728
42003456001,1512
42003456003,2588
42003456004,2207
42003457100,736
42003457200,2047
42003458001,1982
42003458002,2113
42003459101,706
42003459102,2541
42003459201,3356
42003459202,522
42003460001,2096
42003460002,1708
42003461000,632
42003462100,1329
42003462600,1846
42003463900,1647
42003464300,1466
42003464400,1774
42003465600,1361
42003465800,1745
42003468700,863
42003468800,1436
42003468900,2061
42003469000,2326
42003470300,1880
42003470400,1388
42003470501,2039
42003470502,1286
42003470600,1553
42003471000,735
42003472100,1364
42003472200,1316
42003472300,1149
42003472400,863
42003473100,2100
42003473200,1648
42003473300,2507
42003473401,1573
42003473402,1512
42003473500,1326
42003473601,1643
42003473602,1817
42003474101,1470
42003474102,1434
42003474201,922
42003474202,2048
42003474203,1820
42003475101,2489
42003475102,672
42003475200,2205
42003475301,2452
42003475303,1695
42003475304,2352
42003475401,1921
42003475402,1325
42003476100,2660
42003476200,1509
42003477100,1631
42003477200,1972
42003477300,2684
42003478100,1935
42003478200,2466
42003479000,900
42003480101,2491
42003480102,1133
42003480200,1546
42003480300,1539
42003480400,2244
42003481000,1745
42003482500,957
42003483800,1794
42003484300,1759
42003484500,3264
42003484600,1149
42003485000,653
