tract,mortgaged_value_median,mortgaged_no2nd_noheq,real_estate_taxes_median
42003010300,274100,100.0,6032
42003020100,286500,78.4,1956
42003020300,345500,50.0,6250
42003030500,157500,61.5,2620
42003040200,74200,41.6,1057
42003040400,121100,77.9,1344
42003040500,187500,100.0,2222
42003040600,124600,81.8,1491
42003040900,105400,89.5,1405
42003050100,79100,77.6,1562
42003050600,59100,61.1,887
42003051000,408300,100.0,1458
42003060300,89000,92.2,854
42003060500,105200,90.1,943
42003070300,483300,65.6,6687
42003070500,220700,71.7,3940
42003070600,195000,65.3,3969
42003070800,262500,78.6,5380
42003070900,359500,61.7,5429
42003080200,83500,81.8,931
42003080400,138200,89.8,1425
42003080600,212500,84.4,2815
42003080700,172600,44.6,4097
42003080900,117400,78.3,1957
42003090100,102700,81.7,1072
42003090200,82900,91.4,1000
42003090300,71400,85.2,669
42003100500,105900,75.9,1856
42003101100,67400,88.6,856
42003101400,116400,84.5,1709
42003101600,87500,88.9,2160
42003101700,59500,100.0,593
42003101800,112400,74.9,1670
42003110200,167900,78.5,2455
42003110600,221300,63.3,3434
42003111300,110500,48.2,2383
42003111400,107500,53.2,1688
42003111500,64100,63.4,956
42003120300,48400,87.9,950
42003120400,25000,81.5,300
42003120700,41800,94.6,900
42003120800,43300,84.8,517
42003130100,34600,62.2,678
42003130200,52200,70.5,492
42003130300,36500,94.9,800
42003130400,55500,75.2,873
42003130600,64000,86.0,1095
42003140100,460400,68.0,9360
42003140200,485200,64.7,9341
42003140300,438300,63.1,8080
42003140400,325600,80.7,5449
42003140500,162500,85.6,2729
42003140600,258000,70.6,3830
42003140800,306300,65.6,5718
42003141000,224200,95.3,3260
42003141100,115400,87.4,2868
42003141300,310500,69.7,5360
42003141400,256300,77.6,4243
42003151600,107100,82.7,1586
42003151700,151400,77.0,2321
42003160800,86900,86.8,1252
42003160900,209900,76.5,2722
42003170200,176000,79.1,1943
42003170600,189600,87.5,1608
42003180300,47100,73.9,593
42003180700,67700,69.1,1440
42003190300,157700,69.7,2423
42003191100,105600,81.0,2012
42003191400,91500,85.1,1438
42003191500,61300,84.8,1299
42003191600,76800,74.3,1364
42003191700,83000,84.1,1497
42003191800,88600,73.6,1652
42003191900,82300,78.8,1419
42003192000,78000,76.0,1409
42003202200,70500,75.8,1386
42003202300,146000,65.6,2618
42003210700,105700,70.7,2033
42003220600,160300,57.0,2564
42003240600,71700,80.5,1236
42003241200,83300,65.1,1071
42003250300,206000,83.2,2063
42003250700,103100,100.0,1020
42003250900,69200,75.6,989
42003260200,86900,87.5,1603
42003260700,114600,87.5,2235
42003261200,97600,80.8,2090
42003261400,64300,77.2,929
42003261500,78300,72.0,1205
42003262000,67600,80.8,1244
42003270100,100900,70.6,2014
42003270300,77600,84.9,1543
42003270400,70200,60.8,1563
42003270800,101300,74.6,2086
42003271500,61400,77.2,1119
42003281400,81600,82.3,1642
42003281500,81100,86.9,1407
42003290100,64600,84.1,1605
42003290200,67800,85.7,1493
42003290400,78900,80.8,1687
42003300100,45100,85.2,986
42003310200,77800,77.5,1712
42003310300,148000,80.1,2890
42003320400,82300,77.7,1498
42003320600,94800,76.7,1889
42003320700,82700,73.9,1682
42003401100,104100,67.4,2621
42003401200,73500,92.4,1631
42003401300,103400,80.1,2463
42003402000,74700,79.3,1901
42003403500,66000,83.0,1445
42003404000,77000,87.8,1696
42003405000,116800,73.2,2479
42003406000,132000,78.5,2794
42003407001,132600,77.3,2891
42003407002,160900,71.2,3821
42003408001,249400,76.1,5112
42003408002,215700,77.0,4025
42003409000,382300,61.5,7227
42003410000,272800,71.0,4599
42003411000,316500,77.0,6470
42003412001,307200,72.1,6139
42003412002,288900,61.7,5800
42003413100,276100,79.6,4922
42003413201,180100,66.9,3311
42003413202,186000,80.6,3119
42003413300,194600,70.3,3501
42003413400,222300,64.0,4322
42003413500,172200,64.4,4000
42003414101,213200,80.7,4290
42003414102,212500,76.8,4580
42003414200,220400,74.8,3924
42003415001,251600,76.3,4618
42003415002,265400,67.9,3890
42003416000,98700,75.7,2099
42003417100,89500,74.2,2339
