tract,race_white_mono,race_black_mono,race_asian_mono,ethnicity_latino
42003020100,59.1,27.1,7.4,5.5
42003020300,71.2,3.5,10.8,15.4
42003030500,15.8,81.9,0.0,2.0
42003040200,44.0,48.1,4.8,2.8
42003040400,54.3,2.7,40.6,2.2
42003040500,79.5,5.8,8.7,2.8
42003040600,85.0,5.4,4.2,3.7
42003040900,73.1,21.3,4.6,3.0
42003050100,10.9,83.3,0.0,0.0
42003050600,13.0,81.5,3.4,0.0
42003050900,4.2,91.0,0.9,0.0
42003051000,49.1,46.4,2.5,2.3
42003051100,8.9,90.1,0.0,0.0
42003060300,75.3,17.3,0.0,3.7
42003060500,87.5,6.0,0.0,2.4
42003070300,79.9,9.8,10.0,0.5
42003070500,85.5,2.2,10.0,2.4
42003070600,75.9,4.2,16.0,2.3
42003070800,67.6,8.0,21.8,5.2
42003070900,55.7,4.8,37.5,3.6
42003080200,93.3,5.7,0.7,4.4
42003080400,78.2,5.1,16.1,6.5
42003080600,85.3,5.6,7.2,1.9
42003080700,65.7,18.9,10.1,3.4
42003080900,77.6,11.1,6.2,3.2
42003090100,70.8,22.5,2.2,7.8
42003090200,91.5,6.2,1.0,4.0
42003090300,84.9,11.4,1.2,1.9
42003100500,31.4,64.2,0.0,0.5
42003101100,75.4,20.3,1.2,0.4
42003101400,79.4,18.4,0.9,1.7
42003101600,4.4,94.5,0.0,0.0
42003101700,13.0,77.1,3.8,0.5
42003101800,77.9,19.0,2.6,0.5
42003110200,63.3,28.6,5.1,1.0
42003110600,77.6,18.2,1.2,2.5
42003111300,27.0,66.6,2.7,0.9
42003111400,6.8,83.1,0.0,2.9
42003111500,27.1,50.3,19.6,2.5
42003120300,4.3,95.4,0.0,0.0
42003120400,4.5,82.5,5.2,3.1
42003120700,9.6,89.3,0.0,10.5
42003120800,20.2,75.7,0.0,1.0
42003130100,0.9,94.0,0.0,0.7
42003130200,1.9,97.1,0.0,0.0
42003130300,3.9,89.1,0.9,2.8
42003130400,0.2,94.1,2.3,0.0
42003130600,5.6,88.1,0.3,1.2
42003140100,75.9,3.4,14.6,3.0
42003140200,77.5,5.1,12.5,3.8
42003140300,87.1,5.1,5.0,4.3
42003140400,90.5,3.0,5.2,1.9
