"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP04_0001E","Estimate!!HOUSING OCCUPANCY!!Total housing units"
"DP04_0001M","Margin of Error!!HOUSING OCCUPANCY!!Total housing units"
"DP04_0001PE","Percent!!HOUSING OCCUPANCY!!Total housing units"
"DP04_0001PM","Percent Margin of Error!!HOUSING OCCUPANCY!!Total housing units"
"DP04_0002E","Estimate!!HOUSING OCCUPANCY!!Occupied housing units"
"DP04_0002M","Margin of Error!!HOUSING OCCUPANCY!!Occupied housing units"
"DP04_0002PE","Percent!!HOUSING OCCUPANCY!!Occupied housing units"
"DP04_0002PM","Percent Margin of Error!!HOUSING OCCUPANCY!!Occupied housing units"
"DP04_0003E","Estimate!!HOUSING OCCUPANCY!!Vacant housing units"
"DP04_0003M","Margin of Error!!HOUSING OCCUPANCY!!Vacant housing units"
"DP04_0003PE","Percent!!HOUSING OCCUPANCY!!Vacant housing units"
"DP04_0003PM","Percent Margin of Error!!HOUSING OCCUPANCY!!Vacant housing units"
"DP04_0004E","Estimate!!HOUSING OCCUPANCY!!Homeowner vacancy rate"
"DP04_0004M","Margin of Error!!HOUSING OCCUPANCY!!Homeowner vacancy rate"
"DP04_0004PE","Percent!!HOUSING OCCUPANCY!!Homeowner vacancy rate"
"DP04_0004PM","Percent Margin of Error!!HOUSING OCCUPANCY!!Homeowner vacancy rate"
"DP04_0005E","Estimate!!HOUSING OCCUPANCY!!Rental vacancy rate"
"DP04_0005M","Margin of Error!!HOUSING OCCUPANCY!!Rental vacancy rate"
"DP04_0005PE","Percent!!HOUSING OCCUPANCY!!Rental vacancy rate"
"DP04_0005PM","Percent Margin of Error!!HOUSING OCCUPANCY!!Rental vacancy rate"
"DP04_0006E","Estimate!!UNITS IN STRUCTURE!!Total housing units"
"DP04_0006M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units"
"DP04_0006PE","Percent!!UNITS IN STRUCTURE!!Total housing units"
"DP04_0006PM","Percent Margin of Error!!UNITS IN STRUCTURE!!Total housing units"
"DP04_0007E","Estimate!!UNITS IN STRUCTURE!!1-unit, detached"
"DP04_0007M","Margin of Error!!UNITS IN STRUCTURE!!1-unit, detached"
"DP04_0007PE","Percent!!UNITS IN STRUCTURE!!1-unit, detached"
"DP04_0007PM","Percent Margin of Error!!UNITS IN STRUCTURE!!1-unit, detached"
"DP04_0008E","Estimate!!UNITS IN STRUCTURE!!1-unit, attached"
"DP04_0008M","Margin of Error!!UNITS IN STRUCTURE!!1-unit, attached"
"DP04_0008PE","Percent!!UNITS IN STRUCTURE!!1-unit, attached"
"DP04_0008PM","Percent Margin of Error!!UNITS IN STRUCTURE!!1-unit, attached"
"DP04_0009E","Estimate!!UNITS IN STRUCTURE!!2 units"
"DP04_0009M","Margin of Error!!UNITS IN STRUCTURE!!2 units"
"DP04_0009PE","Percent!!UNITS IN STRUCTURE!!2 units"
"DP04_0009PM","Percent Margin of Error!!UNITS IN STRUCTURE!!2 units"
"DP04_0010E","Estimate!!UNITS IN STRUCTURE!!3 or 4 units"
"DP04_0010M","Margin of Error!!UNITS IN STRUCTURE!!3 or 4 units"
"DP04_0010PE","Percent!!UNITS IN STRUCTURE!!3 or 4 units"
"DP04_0010PM","Percent Margin of Error!!UNITS IN STRUCTURE!!3 or 4 units"
"DP04_0011E","Estimate!!UNITS IN STRUCTURE!!5 to 9 units"
"DP04_0011M","Margin of Error!!UNITS IN STRUCTURE!!5 to 9 units"
"DP04_0011PE","Percent!!UNITS IN STRUCTURE!!5 to 9 units"
"DP04_0011PM","Percent Margin of Error!!UNITS IN STRUCTURE!!5 to 9 units"
"DP04_0012E","Estimate!!UNITS IN STRUCTURE!!10 to 19 units"
"DP04_0012M","Margin of Error!!UNITS IN STRUCTURE!!10 to 19 units"
"DP04_0012PE","Percent!!UNITS IN STRUCTURE!!10 to 19 units"
"DP04_0012PM","Percent Margin of Error!!UNITS IN STRUCTURE!!10 to 19 units"
"DP04_0013E","Estimate!!UNITS IN STRUCTURE!!20 or more units"
"DP04_0013M","Margin of Error!!UNITS IN STRUCTURE!!20 or more units"
"DP04_0013PE","Percent!!UNITS IN STRUCTURE!!20 or more units"
