"Label (Grouping)","Total"
"Census Tract 103, Allegheny County, Pennsylvania",""
"    Estimate","397"
"Census Tract 201, Allegheny County, Pennsylvania",""
"    Estimate","2,076"
"Census Tract 203, Allegheny County, Pennsylvania",""
"    Estimate","430"
"Census Tract 305, Allegheny County, Pennsylvania",""
"    Estimate","1,453"
"Census Tract 402, Allegheny County, Pennsylvania",""
"    Estimate","781"
"Census Tract 404, Allegheny County, Pennsylvania",""
"    Estimate","1,471"
"Census Tract 405, Allegheny County, Pennsylvania",""
"    Estimate","1,309"
"Census Tract 406, Allegheny County, Pennsylvania",""
"    Estimate","1,132"
"Census Tract 409, Allegheny County, Pennsylvania",""
"    Estimate","1,466"
"Census Tract 501, Allegheny County, Pennsylvania",""
"    Estimate","1,270"
"Census Tract 506, Allegheny County, Pennsylvania",""
"    Estimate","1,150"
"Census Tract 509, Allegheny County, Pennsylvania",""
"    Estimate","798"
"Census Tract 510, Allegheny County, Pennsylvania",""
"    Estimate","678"
"Census Tract 511, Allegheny County, Pennsylvania",""
"    Estimate","703"
"Census Tract 603, Allegheny County, Pennsylvania",""
"    Estimate","1,322"
"Census Tract 605, Allegheny County, Pennsylvania",""
"    Estimate","881"
"Census Tract 703, Allegheny County, Pennsylvania",""
"    Estimate","1,303"
"Census Tract 705, Allegheny County, Pennsylvania",""
"    Estimate","1,963"
"Census Tract 706, Allegheny County, Pennsylvania",""
"    Estimate","1,381"
"Census Tract 708, Allegheny County, Pennsylvania",""
"    Estimate","1,045"
"Census Tract 709, Allegheny County, Pennsylvania",""
"    Estimate","3,020"
"Census Tract 802, Allegheny County, Pennsylvania",""
"    Estimate","1,011"
"Census Tract 804, Allegheny County, Pennsylvania",""
"    Estimate","797"
"Census Tract 806, Allegheny County, Pennsylvania",""
"    Estimate","1,280"
"Census Tract 807, Allegheny County, Pennsylvania",""
"    Estimate","1,204"
"Census Tract 809, Allegheny County, Pennsylvania",""
"    Estimate","1,088"
"Census Tract 901, Allegheny County, Pennsylvania",""
"    Estimate","1,073"
"Census Tract 902, Allegheny County, Pennsylvania",""
"    Estimate","1,542"
"Census Tract 903, Allegheny County, Pennsylvania",""
"    Estimate","1,030"
"Census Tract 1005, Allegheny County, Pennsylvania",""
"    Estimate","989"
"Census Tract 1011, Allegheny County, Pennsylvania",""
"    Estimate","1,470"
"Census Tract 1014, Allegheny County, Pennsylvania",""
"    Estimate","1,709"
"Census Tract 1016, Allegheny County, Pennsylvania",""
"    Estimate","394"
"Census Tract 1017, Allegheny County, Pennsylvania",""
"    Estimate","814"
"Census Tract 1018, Allegheny County, Pennsylvania",""
"    Estimate","1,273"
"Census Tract 1102, Allegheny County, Pennsylvania",""
"    Estimate","2,260"
"Census Tract 1106, Allegheny County, Pennsylvania",""
"    Estimate","1,115"
"Census Tract 1113, Allegheny County, Pennsylvania",""
"    Estimate","1,568"
"Census Tract 1114, Allegheny County, Pennsylvania",""
"    Estimate","824"
"Census Tract 1115, Allegheny County, Pennsylvania",""
"    Estimate","2,063"
"Census Tract 1203, Allegheny County, Pennsylvania",""
"    Estimate","971"
"Census Tract 1204, Allegheny County, Pennsylvania",""
"    Estimate","546"
"Census Tract 1207, Allegheny County, Pennsylvania",""
"    Estimate","628"
"Census Tract 1208, Allegheny County, Pennsylvania",""
"    Estimate","443"
"Census Tract 1301, Allegheny County, Pennsylvania",""
"    Estimate","1,204"
"Census Tract 1302, Allegheny County, Pennsylvania",""
"    Estimate","703"
"Census Tract 1303, Allegheny County, Pennsylvania",""
"    Estimate","829"
"Census Tract 1304, Allegheny County, Pennsylvania",""
"    Estimate","678"
"Census Tract 1306, Allegheny County, Pennsylvania",""
"    Estimate","1,523"
"Census Tract 1401, Allegheny County, Pennsylvania",""
"    Estimate","1,098"
"Census Tract 1402, Allegheny County, Pennsylvania",""
"    Estimate","1,147"
"Census Tract 1403, Allegheny County, Pennsylvania",""
"    Estimate","1,560"
"Census Tract 1404, Allegheny County, Pennsylvania",""
"    Estimate","1,008"
"Census Tract 1405, Allegheny County, Pennsylvania",""
"    Estimate","1,152"
"Census Tract 1406, Allegheny County, Pennsylvania",""
"    Estimate","1,496"
"Census Tract 1408, Allegheny County, Pennsylvania",""
"    Estimate","2,147"
"Census Tract 1410, Allegheny County, Pennsylvania",""
"    Estimate","491"
"Census Tract 1411, Allegheny County, Pennsylvania",""
"    Estimate","637"
"Census Tract 1413, Allegheny County, Pennsylvania",""
"    Estimate","2,527"
"Census Tract 1414, Allegheny County, Pennsylvania",""
"    Estimate","2,783"
"Census Tract 1516, Allegheny County, Pennsylvania",""
"    Estimate","1,289"
"Census Tract 1517, Allegheny County, Pennsylvania",""
"    Estimate","2,641"
"Census Tract 1608, Allegheny County, Pennsylvania",""
"    Estimate","1,470"
"Census Tract 1609, Allegheny County, Pennsylvania",""
"    Estimate","1,893"
"Census Tract 1702, Allegheny County, Pennsylvania",""
"    Estimate","2,387"
"Census Tract 1706, Allegheny County, Pennsylvania",""
"    Estimate","1,137"
"Census Tract 1803, Allegheny County, Pennsylvania",""
"    Estimate","1,358"
"Census Tract 1807, Allegheny County, Pennsylvania",""
"    Estimate","1,063"
"Census Tract 1903, Allegheny County, Pennsylvania",""
"    Estimate","1,202"
"Census Tract 1911, Allegheny County, Pennsylvania",""
"    Estimate","1,323"
"Census Tract 1914, Allegheny County, Pennsylvania",""
"    Estimate","1,689"
"Census Tract 1915, Allegheny County, Pennsylvania",""
"    Estimate","1,188"
"Census Tract 1916, Allegheny County, Pennsylvania",""
"    Estimate","2,094"
"Census Tract 1917, Allegheny County, Pennsylvania",""
"    Estimate","1,655"
"Census Tract 1918, Allegheny County, Pennsylvania",""
"    Estimate","2,616"
"Census Tract 1919, Allegheny County, Pennsylvania",""
"    Estimate","1,070"
"Census Tract 1920, Allegheny County, Pennsylvania",""
"    Estimate","1,867"
"Census Tract 2022, Allegheny County, Pennsylvania",""
"    Estimate","1,268"
"Census Tract 2023, Allegheny County, Pennsylvania",""
"    Estimate","2,120"
"Census Tract 2107, Allegheny County, Pennsylvania",""
"    Estimate","1,290"
