"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1501_C01_001E","Total!!Estimate!!Population 18 to 24 years"
"S1501_C01_001M","Total!!Margin of Error!!Population 18 to 24 years"
"S1501_C02_001E","Male!!Estimate!!Population 18 to 24 years"
"S1501_C02_001M","Male!!Margin of Error!!Population 18 to 24 years"
"S1501_C03_001E","Female!!Estimate!!Population 18 to 24 years"
"S1501_C03_001M","Female!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_002E","Total!!Estimate!!Less than high school graduate"
"S1501_C01_002M","Total!!Margin of Error!!Less than high school graduate"
"S1501_C02_002E","Male!!Estimate!!Less than high school graduate"
"S1501_C02_002M","Male!!Margin of Error!!Less than high school graduate"
"S1501_C03_002E","Female!!Estimate!!Less than high school graduate"
"S1501_C03_002M","Female!!Margin of Error!!Less than high school graduate"
"S1501_C01_003E","Total!!Estimate!!High school graduate (includes equivalency)"
"S1501_C01_003M","Total!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C02_003E","Male!!Estimate!!High school graduate (includes equivalency)"
"S1501_C02_003M","Male!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C03_003E","Female!!Estimate!!High school graduate (includes equivalency)"
"S1501_C03_003M","Female!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C01_004E","Total!!Estimate!!Some college or associate's degree"
"S1501_C01_004M","Total!!Margin of Error!!Some college or associate's degree"
"S1501_C02_004E","Male!!Estimate!!Some college or associate's degree"
"S1501_C02_004M","Male!!Margin of Error!!Some college or associate's degree"
"S1501_C03_004E","Female!!Estimate!!Some college or associate's degree"
"S1501_C03_004M","Female!!Margin of Error!!Some college or associate's degree"
"S1501_C01_005E","Total!!Estimate!!Bachelor's degree or higher"
"S1501_C01_005M","Total!!Margin of Error!!Bachelor's degree or higher"
"S1501_C02_005E","Male!!Estimate!!Bachelor's degree or higher"
"S1501_C02_005M","Male!!Margin of Error!!Bachelor's degree or higher"
"S1501_C03_005E","Female!!Estimate!!Bachelor's degree or higher"
"S1501_C03_005M","Female!!Margin of Error!!Bachelor's degree or higher"
"S1501_C01_006E","Total!!Estimate!!Population 25 years and over"
"S1501_C01_006M","Total!!Margin of Error!!Population 25 years and over"
"S1501_C02_006E","Male!!Estimate!!Population 25 years and over"
"S1501_C02_006M","Male!!Margin of Error!!Population 25 years and over"
"S1501_C03_006E","Female!!Estimate!!Population 25 years and over"
"S1501_C03_006M","Female!!Margin of Error!!Population 25 years and over"
"S1501_C01_007E","Total!!Estimate!!Less than 9th grade"
"S1501_C01_007M","Total!!Margin of Error!!Less than 9th grade"
"S1501_C02_007E","Male!!Estimate!!Less than 9th grade"
"S1501_C02_007M","Male!!Margin of Error!!Less than 9th grade"
"S1501_C03_007E","Female!!Estimate!!Less than 9th grade"
"S1501_C03_007M","Female!!Margin of Error!!Less than 9th grade"
"S1501_C01_008E","Total!!Estimate!!9th to 12th grade, no diploma"
"S1501_C01_008M","Total!!Margin of Error!!9th to 12th grade, no diploma"
"S1501_C02_008E","Male!!Estimate!!9th to 12th grade, no diploma"
"S1501_C02_008M","Male!!Margin of Error!!9th to 12th grade, no diploma"
"S1501_C03_008E","Female!!Estimate!!9th to 12th grade, no diploma"
"S1501_C03_008M","Female!!Margin of Error!!9th to 12th grade, no diploma"
"S1501_C01_009E","Total!!Estimate!!High school graduate (includes equivalency)"
"S1501_C01_009M","Total!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C02_009E","Male!!Estimate!!High school graduate (includes equivalency)"
"S1501_C02_009M","Male!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C03_009E","Female!!Estimate!!High school graduate (includes equivalency)"
"S1501_C03_009M","Female!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C01_010E","Total!!Estimate!!Some college, no degree"
"S1501_C01_010M","Total!!Margin of Error!!Some college, no degree"
"S1501_C02_010E","Male!!Estimate!!Some college, no degree"
"S1501_C02_010M","Male!!Margin of Error!!Some college, no degree"
"S1501_C03_010E","Female!!Estimate!!Some college, no degree"
"S1501_C03_010M","Female!!Margin of Error!!Some college, no degree"
"S1501_C01_011E","Total!!Estimate!!Associate's degree"
"S1501_C01_011M","Total!!Margin of Error!!Associate's degree"
