"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2506_C01_001E","Owner-occupied housing units with a mortgage!!Estimate!!Owner-occupied housing units with a mortgage"
"S2506_C01_001M","Owner-occupied housing units with a mortgage!!Margin of Error!!Owner-occupied housing units with a mortgage"
"S2506_C01_002E","Owner-occupied housing units with a mortgage!!Estimate!!VALUE!!Less than $50,000"
"S2506_C01_002M","Owner-occupied housing units with a mortgage!!Margin of Error!!VALUE!!Less than $50,000"
"S2506_C01_003E","Owner-occupied housing units with a mortgage!!Estimate!!VALUE!!$50,000 to $99,999"
"S2506_C01_003M","Owner-occupied housing units with a mortgage!!Margin of Error!!VALUE!!$50,000 to $99,999"
"S2506_C01_004E","Owner-occupied housing units with a mortgage!!Estimate!!VALUE!!$100,000 to $149,999"
"S2506_C01_004M","Owner-occupied housing units with a mortgage!!Margin of Error!!VALUE!!$100,000 to $149,999"
"S2506_C01_005E","Owner-occupied housing units with a mortgage!!Estimate!!VALUE!!$150,000 to $199,999"
"S2506_C01_005M","Owner-occupied housing units with a mortgage!!Margin of Error!!VALUE!!$150,000 to $199,999"
"S2506_C01_006E","Owner-occupied housing units with a mortgage!!Estimate!!VALUE!!$200,000 to $299,999"
"S2506_C01_006M","Owner-occupied housing units with a mortgage!!Margin of Error!!VALUE!!$200,000 to $299,999"
"S2506_C01_007E","Owner-occupied housing units with a mortgage!!Estimate!!VALUE!!$300,000 to $499,999"
"S2506_C01_007M","Owner-occupied housing units with a mortgage!!Margin of Error!!VALUE!!$300,000 to $499,999"
"S2506_C01_008E","Owner-occupied housing units with a mortgage!!Estimate!!VALUE!!$500,000 or more"
"S2506_C01_008M","Owner-occupied housing units with a mortgage!!Margin of Error!!VALUE!!$500,000 or more"
"S2506_C01_009E","Owner-occupied housing units with a mortgage!!Estimate!!VALUE!!Median (dollars)"
"S2506_C01_009M","Owner-occupied housing units with a mortgage!!Margin of Error!!VALUE!!Median (dollars)"
"S2506_C01_010E","Owner-occupied housing units with a mortgage!!Estimate!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both"
"S2506_C01_010M","Owner-occupied housing units with a mortgage!!Margin of Error!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both"
"S2506_C01_011E","Owner-occupied housing units with a mortgage!!Estimate!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both!!Second mortgage only"
"S2506_C01_011M","Owner-occupied housing units with a mortgage!!Margin of Error!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both!!Second mortgage only"
"S2506_C01_012E","Owner-occupied housing units with a mortgage!!Estimate!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both!!Home equity loan only"
"S2506_C01_012M","Owner-occupied housing units with a mortgage!!Margin of Error!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both!!Home equity loan only"
"S2506_C01_013E","Owner-occupied housing units with a mortgage!!Estimate!!MORTGAGE STATUS!!Both second mortgage and home equity loan"
"S2506_C01_013M","Owner-occupied housing units with a mortgage!!Margin of Error!!MORTGAGE STATUS!!Both second mortgage and home equity loan"
"S2506_C01_014E","Owner-occupied housing units with a mortgage!!Estimate!!MORTGAGE STATUS!!No second mortgage and no home equity loan"
"S2506_C01_014M","Owner-occupied housing units with a mortgage!!Margin of Error!!MORTGAGE STATUS!!No second mortgage and no home equity loan"
"S2506_C01_015E","Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than $10,000"
"S2506_C01_015M","Owner-occupied housing units with a mortgage!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than $10,000"
"S2506_C01_016E","Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $24,999"
"S2506_C01_016M","Owner-occupied housing units with a mortgage!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $24,999"
