"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"0500000US42003","Allegheny County, Pennsylvania","1223348",
"1500000US420030103001","Block Group 1, Census Tract 103, Allegheny County, Pennsylvania","2594",
"1500000US420030103002","Block Group 2, Census Tract 103, Allegheny County, Pennsylvania","3336",
"1500000US420030103003","Block Group 3, Census Tract 103, Allegheny County, Pennsylvania","353",
"1500000US420030103004","Block Group 4, Census Tract 103, Allegheny County, Pennsylvania","317",
"1500000US420030201001","Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","1435",
"1500000US420030201002","Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","936",
"1500000US420030201003","Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","28",
"1500000US420030201004","Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","798",
"1500000US420030201005","Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","9",
"1500000US420030201006","Block Group 6, Census Tract 201, Allegheny County, Pennsylvania","423",
"1500000US420030203001","Block Group 1, Census Tract 203, Allegheny County, Pennsylvania","616",
"1500000US420030305001","Block Group 1, Census Tract 305, Allegheny County, Pennsylvania","1403",
"1500000US420030305002","Block Group 2, Census Tract 305, Allegheny County, Pennsylvania","853",
"1500000US420030402001","Block Group 1, Census Tract 402, Allegheny County, Pennsylvania","834",
"1500000US420030402002","Block Group 2, Census Tract 402, Allegheny County, Pennsylvania","1770",
"1500000US420030404001","Block Group 1, Census Tract 404, Allegheny County, Pennsylvania","636",
"1500000US420030404002","Block Group 2, Census Tract 404, Allegheny County, Pennsylvania","1852",
"1500000US420030405001","Block Group 1, Census Tract 405, Allegheny County, Pennsylvania","1904",
"1500000US420030405002","Block Group 2, Census Tract 405, Allegheny County, Pennsylvania","1790",
"1500000US420030406001","Block Group 1, Census Tract 406, Allegheny County, Pennsylvania","2392",
"1500000US420030409001","Block Group 1, Census Tract 409, Allegheny County, Pennsylvania","1120",
"1500000US420030409002","Block Group 2, Census Tract 409, Allegheny County, Pennsylvania","1140",
"1500000US420030409003","Block Group 3, Census Tract 409, Allegheny County, Pennsylvania","709",
"1500000US420030501001","Block Group 1, Census Tract 501, Allegheny County, Pennsylvania","564",
"1500000US420030501002","Block Group 2, Census Tract 501, Allegheny County, Pennsylvania","416",
"1500000US420030501003","Block Group 3, Census Tract 501, Allegheny County, Pennsylvania","727",
"1500000US420030506001","Block Group 1, Census Tract 506, Allegheny County, Pennsylvania","925",
"1500000US420030506002","Block Group 2, Census Tract 506, Allegheny County, Pennsylvania","483",
"1500000US420030506003","Block Group 3, Census Tract 506, Allegheny County, Pennsylvania","649",
"1500000US420030509001","Block Group 1, Census Tract 509, Allegheny County, Pennsylvania","1202",
"1500000US420030510001","Block Group 1, Census Tract 510, Allegheny County, Pennsylvania","934",
"1500000US420030510002","Block Group 2, Census Tract 510, Allegheny County, Pennsylvania","1172",
"1500000US420030511001","Block Group 1, Census Tract 511, Allegheny County, Pennsylvania","1122",
"1500000US420030603001","Block Group 1, Census Tract 603, Allegheny County, Pennsylvania","1114",
"1500000US420030603002","Block Group 2, Census Tract 603, Allegheny County, Pennsylvania","1227",
"1500000US420030605001","Block Group 1, Census Tract 605, Allegheny County, Pennsylvania","668",
"1500000US420030605002","Block Group 2, Census Tract 605, Allegheny County, Pennsylvania","606",
"1500000US420030703001","Block Group 1, Census Tract 703, Allegheny County, Pennsylvania","693",
"1500000US420030703002","Block Group 2, Census Tract 703, Allegheny County, Pennsylvania","778",
"1500000US420030703003","Block Group 3, Census Tract 703, Allegheny County, Pennsylvania","726",
"1500000US420030705001","Block Group 1, Census Tract 705, Allegheny County, Pennsylvania","1257",
"1500000US420030705002","Block Group 2, Census Tract 705, Allegheny County, Pennsylvania","724",
"1500000US420030705003","Block Group 3, Census Tract 705, Allegheny County, Pennsylvania","1016",
"1500000US420030706001","Block Group 1, Census Tract 706, Allegheny County, Pennsylvania","921",
"1500000US420030706002","Block Group 2, Census Tract 706, Allegheny County, Pennsylvania","1161",
"1500000US420030708001","Block Group 1, Census Tract 708, Allegheny County, Pennsylvania","725",
"1500000US420030708002","Block Group 2, Census Tract 708, Allegheny County, Pennsylvania","980",
"1500000US420030709001","Block Group 1, Census Tract 709, Allegheny County, Pennsylvania","1762",
"1500000US420030709002","Block Group 2, Census Tract 709, Allegheny County, Pennsylvania","787",
"1500000US420030709003","Block Group 3, Census Tract 709, Allegheny County, Pennsylvania","892",
"1500000US420030709004","Block Group 4, Census Tract 709, Allegheny County, Pennsylvania","1493",
"1500000US420030802001","Block Group 1, Census Tract 802, Allegheny County, Pennsylvania","1049",
"1500000US420030802002","Block Group 2, Census Tract 802, Allegheny County, Pennsylvania","630",
"1500000US420030804001","Block Group 1, Census Tract 804, Allegheny County, Pennsylvania","667",
"1500000US420030804002","Block Group 2, Census Tract 804, Allegheny County, Pennsylvania","702",
"1500000US420030806001","Block Group 1, Census Tract 806, Allegheny County, Pennsylvania","1313",
"1500000US420030806002","Block Group 2, Census Tract 806, Allegheny County, Pennsylvania","685",
"1500000US420030807001","Block Group 1, Census Tract 807, Allegheny County, Pennsylvania","839",
"1500000US420030807002","Block Group 2, Census Tract 807, Allegheny County, Pennsylvania","946",
"1500000US420030809001","Block Group 1, Census Tract 809, Allegheny County, Pennsylvania","995",
"1500000US420030809002","Block Group 2, Census Tract 809, Allegheny County, Pennsylvania","772",
"1500000US420030901001","Block Group 1, Census Tract 901, Allegheny County, Pennsylvania","1308",
"1500000US420030901002","Block Group 2, Census Tract 901, Allegheny County, Pennsylvania","535",
"1500000US420030902001","Block Group 1, Census Tract 902, Allegheny County, Pennsylvania","872",
"1500000US420030902002","Block Group 2, Census Tract 902, Allegheny County, Pennsylvania","1062",
"1500000US420030902003","Block Group 3, Census Tract 902, Allegheny County, Pennsylvania","701",
"1500000US420030903001","Block Group 1, Census Tract 903, Allegheny County, Pennsylvania","1081",
"1500000US420030903002","Block Group 2, Census Tract 903, Allegheny County, Pennsylvania","548",
"1500000US420031005001","Block Group 1, Census Tract 1005, Allegheny County, Pennsylvania","824",
"1500000US420031005002","Block Group 2, Census Tract 1005, Allegheny County, Pennsylvania","1255",
"1500000US420031011001","Block Group 1, Census Tract 1011, Allegheny County, Pennsylvania","1339",
"1500000US420031011002","Block Group 2, Census Tract 1011, Allegheny County, Pennsylvania","641",
"1500000US420031011003","Block Group 3, Census Tract 1011, Allegheny County, Pennsylvania","689",
"1500000US420031014001","Block Group 1, Census Tract 1014, Allegheny County, Pennsylvania","1124",
"1500000US420031014002","Block Group 2, Census Tract 1014, Allegheny County, Pennsylvania","670",
"1500000US420031014003","Block Group 3, Census Tract 1014, Allegheny County, Pennsylvania","822",
"1500000US420031014004","Block Group 4, Census Tract 1014, Allegheny County, Pennsylvania","730",
"1500000US420031016001","Block Group 1, Census Tract 1016, Allegheny County, Pennsylvania","857",
"1500000US420031017001","Block Group 1, Census Tract 1017, Allegheny County, Pennsylvania","607",
"1500000US420031017002","Block Group 2, Census Tract 1017, Allegheny County, Pennsylvania","858",
"1500000US420031018001","Block Group 1, Census Tract 1018, Allegheny County, Pennsylvania","1006",
"1500000US420031018002","Block Group 2, Census Tract 1018, Allegheny County, Pennsylvania","1516",
"1500000US420031102001","Block Group 1, Census Tract 1102, Allegheny County, Pennsylvania","808",
"1500000US420031102002","Block Group 2, Census Tract 1102, Allegheny County, Pennsylvania","736",
"1500000US420031102003","Block Group 3, Census Tract 1102, Allegheny County, Pennsylvania","1197",
"1500000US420031102004","Block Group 4, Census Tract 1102, Allegheny County, Pennsylvania","1230",
"1500000US420031106001","Block Group 1, Census Tract 1106, Allegheny County, Pennsylvania","969",
"1500000US420031106002","Block Group 2, Census Tract 1106, Allegheny County, Pennsylvania","716",
"1500000US420031106003","Block Group 3, Census Tract 1106, Allegheny County, Pennsylvania","721",
"1500000US420031113001","Block Group 1, Census Tract 1113, Allegheny County, Pennsylvania","757",
"1500000US420031113002","Block Group 2, Census Tract 1113, Allegheny County, Pennsylvania","624",
"1500000US420031113003","Block Group 3, Census Tract 1113, Allegheny County, Pennsylvania","579",
"1500000US420031113004","Block Group 4, Census Tract 1113, Allegheny County, Pennsylvania","679",
"1500000US420031114001","Block Group 1, Census Tract 1114, Allegheny County, Pennsylvania","575",
"1500000US420031114002","Block Group 2, Census Tract 1114, Allegheny County, Pennsylvania","778",
"1500000US420031115001","Block Group 1, Census Tract 1115, Allegheny County, Pennsylvania","757",
"1500000US420031115002","Block Group 2, Census Tract 1115, Allegheny County, Pennsylvania","1538",
"1500000US420031115003","Block Group 3, Census Tract 1115, Allegheny County, Pennsylvania","170",
"1500000US420031115004","Block Group 4, Census Tract 1115, Allegheny County, Pennsylvania","765",
"1500000US420031203001","Block Group 1, Census Tract 1203, Allegheny County, Pennsylvania","952",
"1500000US420031203002","Block Group 2, Census Tract 1203, Allegheny County, Pennsylvania","698",
"1500000US420031204001","Block Group 1, Census Tract 1204, Allegheny County, Pennsylvania","543",
"1500000US420031204002","Block Group 2, Census Tract 1204, Allegheny County, Pennsylvania","326",
"1500000US420031207001","Block Group 1, Census Tract 1207, Allegheny County, Pennsylvania","460",
"1500000US420031207002","Block Group 2, Census Tract 1207, Allegheny County, Pennsylvania","358",
"1500000US420031208001","Block Group 1, Census Tract 1208, Allegheny County, Pennsylvania","355",
"1500000US420031208002","Block Group 2, Census Tract 1208, Allegheny County, Pennsylvania","504",
"1500000US420031301001","Block Group 1, Census Tract 1301, Allegheny County, Pennsylvania","821",
"1500000US420031301002","Block Group 2, Census Tract 1301, Allegheny County, Pennsylvania","546",
"1500000US420031301003","Block Group 3, Census Tract 1301, Allegheny County, Pennsylvania","543",
"1500000US420031302001","Block Group 1, Census Tract 1302, Allegheny County, Pennsylvania","662",
"1500000US420031302002","Block Group 2, Census Tract 1302, Allegheny County, Pennsylvania","708",
"1500000US420031303001","Block Group 1, Census Tract 1303, Allegheny County, Pennsylvania","361",
"1500000US420031303002","Block Group 2, Census Tract 1303, Allegheny County, Pennsylvania","286",
"1500000US420031303003","Block Group 3, Census Tract 1303, Allegheny County, Pennsylvania","506",
"1500000US420031304001","Block Group 1, Census Tract 1304, Allegheny County, Pennsylvania","399",
"1500000US420031304002","Block Group 2, Census Tract 1304, Allegheny County, Pennsylvania","482",
"1500000US420031304003","Block Group 3, Census Tract 1304, Allegheny County, Pennsylvania","310",
"1500000US420031306001","Block Group 1, Census Tract 1306, Allegheny County, Pennsylvania","579",
"1500000US420031306002","Block Group 2, Census Tract 1306, Allegheny County, Pennsylvania","644",
"1500000US420031306003","Block Group 3, Census Tract 1306, Allegheny County, Pennsylvania","1946",
"1500000US420031401001","Block Group 1, Census Tract 1401, Allegheny County, Pennsylvania","1280",
"1500000US420031401002","Block Group 2, Census Tract 1401, Allegheny County, Pennsylvania","1897",
"1500000US420031401003","Block Group 3, Census Tract 1401, Allegheny County, Pennsylvania","527",
