_id,metric_name,report_group,calendar_year,kpi_count,geo_area_name
370459,Overdoses,Community Trends,2018,,Allegheny Center
370460,Overdoses,Community Trends,2019,,Allegheny Center
370461,Overdoses,Community Trends,2020,,Allegheny Center
370462,Overdoses,Community Trends,2021,,Allegheny Center
370463,Overdoses,Community Trends,2022,,Allegheny Center
370464,Overdoses,Community Trends,2023,,Allegheny Center
370465,Overdoses,Community Trends,2018,,Allegheny West
370466,Overdoses,Community Trends,2019,,Allegheny West
370467,Overdoses,Community Trends,2020,,Allegheny West
370468,Overdoses,Community Trends,2021,,Allegheny West
370469,Overdoses,Community Trends,2022,,Allegheny West
370470,Overdoses,Community Trends,2023,,Allegheny West
370471,Overdoses,Community Trends,2018,,Allentown
370472,Overdoses,Community Trends,2019,,Allentown
370473,Overdoses,Community Trends,2020,,Allentown
370474,Overdoses,Community Trends,2021,7,Allentown
370475,Overdoses,Community Trends,2022,,Allentown
370476,Overdoses,Community Trends,2023,6,Allentown
370477,Overdoses,Community Trends,2018,,Arlington
370478,Overdoses,Community Trends,2019,,Arlington
370479,Overdoses,Community Trends,2020,,Arlington
370480,Overdoses,Community Trends,2021,,Arlington
370481,Overdoses,Community Trends,2022,,Arlington
370482,Overdoses,Community Trends,2023,,Arlington
370483,Overdoses,Community Trends,2018,,Arlington Heights
370484,Overdoses,Community Trends,2019,,Arlington Heights
370485,Overdoses,Community Trends,2020,,Arlington Heights
370486,Overdoses,Community Trends,2021,,Arlington Heights
370487,Overdoses,Community Trends,2022,,Arlington Heights
370488,Overdoses,Community Trends,2023,,Arlington Heights
370489,Overdoses,Community Trends,2018,,Banksville
370490,Overdoses,Community Trends,2019,,Banksville
370491,Overdoses,Community Trends,2020,,Banksville
370492,Overdoses,Community Trends,2021,,Banksville
370493,Overdoses,Community Trends,2022,,Banksville
370494,Overdoses,Community Trends,2023,,Banksville
370495,Overdoses,Community Trends,2018,,Bedford Dwellings
370496,Overdoses,Community Trends,2019,,Bedford Dwellings
370497,Overdoses,Community Trends,2020,,Bedford Dwellings
370498,Overdoses,Community Trends,2021,,Bedford Dwellings
370499,Overdoses,Community Trends,2022,,Bedford Dwellings
370500,Overdoses,Community Trends,2023,6,Bedford Dwellings
370501,Overdoses,Community Trends,2018,,Beechview
370502,Overdoses,Community Trends,2019,,Beechview
370503,Overdoses,Community Trends,2020,8,Beechview
370504,Overdoses,Community Trends,2021,7,Beechview
370505,Overdoses,Community Trends,2022,6,Beechview
370506,Overdoses,Community Trends,2023,,Beechview
370507,Overdoses,Community Trends,2018,,Beltzhoover
370508,Overdoses,Community Trends,2019,,Beltzhoover
370509,Overdoses,Community Trends,2020,,Beltzhoover
370510,Overdoses,Community Trends,2021,,Beltzhoover
370511,Overdoses,Community Trends,2022,,Beltzhoover
370512,Overdoses,Community Trends,2023,,Beltzhoover
370513,Overdoses,Community Trends,2018,,Bloomfield
370514,Overdoses,Community Trends,2019,,Bloomfield
370515,Overdoses,Community Trends,2020,6,Bloomfield
370516,Overdoses,Community Trends,2021,10,Bloomfield
370517,Overdoses,Community Trends,2022,,Bloomfield
370518,Overdoses,Community Trends,2023,6,Bloomfield
370519,Overdoses,Community Trends,2018,,Bluff
370520,Overdoses,Community Trends,2019,,Bluff
370521,Overdoses,Community Trends,2020,,Bluff
370522,Overdoses,Community Trends,2021,6,Bluff
370523,Overdoses,Community Trends,2022,,Bluff
370524,Overdoses,Community Trends,2023,,Bluff
370525,Overdoses,Community Trends,2018,,Bon Air
370526,Overdoses,Community Trends,2019,,Bon Air
370527,Overdoses,Community Trends,2020,,Bon Air
370528,Overdoses,Community Trends,2021,,Bon Air
370529,Overdoses,Community Trends,2022,,Bon Air
370530,Overdoses,Community Trends,2023,,Bon Air
370531,Overdoses,Community Trends,2018,,Brighton Heights
370532,Overdoses,Community Trends,2019,,Brighton Heights
370533,Overdoses,Community Trends,2020,,Brighton Heights
370534,Overdoses,Community Trends,2021,,Brighton Heights
370535,Overdoses,Community Trends,2022,6,Brighton Heights
370536,Overdoses,Community Trends,2023,,Brighton Heights
370537,Overdoses,Community Trends,2018,,Brookline
370538,Overdoses,Community Trends,2019,16,Brookline
370539,Overdoses,Community Trends,2020,18,Brookline
370540,Overdoses,Community Trends,2021,6,Brookline
370541,Overdoses,Community Trends,2022,9,Brookline
370542,Overdoses,Community Trends,2023,,Brookline
370543,Overdoses,Community Trends,2018,,California-Kirkbride
370544,Overdoses,Community Trends,2019,,California-Kirkbride
370545,Overdoses,Community Trends,2020,,California-Kirkbride
370546,Overdoses,Community Trends,2021,,California-Kirkbride
370547,Overdoses,Community Trends,2022,,California-Kirkbride
370548,Overdoses,Community Trends,2023,,California-Kirkbride
370549,Overdoses,Community Trends,2018,,Carrick
370550,Overdoses,Community Trends,2019,10,Carrick
370551,Overdoses,Community Trends,2020,12,Carrick
370552,Overdoses,Community Trends,2021,12,Carrick
370553,Overdoses,Community Trends,2022,17,Carrick
370554,Overdoses,Community Trends,2023,14,Carrick
370555,Overdoses,Community Trends,2018,,Central Lawrenceville
370556,Overdoses,Community Trends,2019,,Central Lawrenceville
370557,Overdoses,Community Trends,2020,,Central Lawrenceville
370558,Overdoses,Community Trends,2021,,Central Lawrenceville
370559,Overdoses,Community Trends,2022,,Central Lawrenceville
370560,Overdoses,Community Trends,2023,,Central Lawrenceville
370561,Overdoses,Community Trends,2018,,Central Northside
370562,Overdoses,Community Trends,2019,,Central Northside
370563,Overdoses,Community Trends,2020,,Central Northside
370564,Overdoses,Community Trends,2021,,Central Northside
370565,Overdoses,Community Trends,2022,,Central Northside
370566,Overdoses,Community Trends,2023,,Central Northside
370567,Overdoses,Community Trends,2018,,Central Oakland
370568,Overdoses,Community Trends,2019,,Central Oakland
370569,Overdoses,Community Trends,2020,,Central Oakland
370570,Overdoses,Community Trends,2021,,Central Oakland
370571,Overdoses,Community Trends,2022,,Central Oakland
370572,Overdoses,Community Trends,2023,,Central Oakland
370573,Overdoses,Community Trends,2018,,Chartiers City
370574,Overdoses,Community Trends,2019,,Chartiers City
370575,Overdoses,Community Trends,2020,,Chartiers City
370576,Overdoses,Community Trends,2021,,Chartiers City
370577,Overdoses,Community Trends,2022,,Chartiers City
370578,Overdoses,Community Trends,2023,,Chartiers City
370579,Overdoses,Community Trends,2018,,Crafton Heights
370580,Overdoses,Community Trends,2019,,Crafton Heights
370581,Overdoses,Community Trends,2020,,Crafton Heights
370582,Overdoses,Community Trends,2021,,Crafton Heights
370583,Overdoses,Community Trends,2022,,Crafton Heights
370584,Overdoses,Community Trends,2023,,Crafton Heights
370585,Overdoses,Community Trends,2018,,Crawford-Roberts
370586,Overdoses,Community Trends,2019,,Crawford-Roberts
370587,Overdoses,Community Trends,2020,,Crawford-Roberts
370588,Overdoses,Community Trends,2021,,Crawford-Roberts
370589,Overdoses,Community Trends,2022,,Crawford-Roberts
370590,Overdoses,Community Trends,2023,,Crawford-Roberts
370591,Overdoses,Community Trends,2018,,Duquesne Heights
370592,Overdoses,Community Trends,2019,,Duquesne Heights
370593,Overdoses,Community Trends,2020,,Duquesne Heights
370594,Overdoses,Community Trends,2021,,Duquesne Heights
370595,Overdoses,Community Trends,2022,,Duquesne Heights
370596,Overdoses,Community Trends,2023,,Duquesne Heights
370597,Overdoses,Community Trends,2018,,East Allegheny
370598,Overdoses,Community Trends,2019,,East Allegheny
370599,Overdoses,Community Trends,2020,,East Allegheny
370600,Overdoses,Community Trends,2021,,East Allegheny
370601,Overdoses,Community Trends,2022,,East Allegheny
370602,Overdoses,Community Trends,2023,,East Allegheny
370603,Overdoses,Community Trends,2018,,East Carnegie
370604,Overdoses,Community Trends,2019,,East Carnegie
370605,Overdoses,Community Trends,2020,,East Carnegie
370606,Overdoses,Community Trends,2021,,East Carnegie
370607,Overdoses,Community Trends,2022,,East Carnegie
370608,Overdoses,Community Trends,2023,,East Carnegie
370609,Overdoses,Community Trends,2018,,East Hills
370610,Overdoses,Community Trends,2019,,East Hills
370611,Overdoses,Community Trends,2020,,East Hills
370612,Overdoses,Community Trends,2021,,East Hills
370613,Overdoses,Community Trends,2022,,East Hills
370614,Overdoses,Community Trends,2023,,East Hills
370615,Overdoses,Community Trends,2018,,East Liberty
370616,Overdoses,Community Trends,2019,,East Liberty
370617,Overdoses,Community Trends,2020,,East Liberty
370618,Overdoses,Community Trends,2021,,East Liberty
370619,Overdoses,Community Trends,2022,,East Liberty
370620,Overdoses,Community Trends,2023,,East Liberty
370621,Overdoses,Community Trends,2018,,Elliott
370622,Overdoses,Community Trends,2019,,Elliott
370623,Overdoses,Community Trends,2020,,Elliott
370624,Overdoses,Community Trends,2021,6,Elliott
370625,Overdoses,Community Trends,2022,,Elliott
370626,Overdoses,Community Trends,2023,,Elliott
370627,Overdoses,Community Trends,2018,,Esplen
370628,Overdoses,Community Trends,2019,,Esplen
370629,Overdoses,Community Trends,2020,,Esplen
370630,Overdoses,Community Trends,2021,,Esplen
370631,Overdoses,Community Trends,2022,,Esplen
370632,Overdoses,Community Trends,2023,,Esplen
370633,Overdoses,Community Trends,2018,,Fairywood
370634,Overdoses,Community Trends,2019,,Fairywood
370635,Overdoses,Community Trends,2020,,Fairywood
370636,Overdoses,Community Trends,2021,,Fairywood
370637,Overdoses,Community Trends,2022,,Fairywood
370638,Overdoses,Community Trends,2023,,Fairywood
370639,Overdoses,Community Trends,2018,,Fineview
370640,Overdoses,Community Trends,2019,,Fineview
370641,Overdoses,Community Trends,2020,,Fineview
370642,Overdoses,Community Trends,2021,,Fineview
370643,Overdoses,Community Trends,2022,,Fineview
370644,Overdoses,Community Trends,2023,,Fineview
370645,Overdoses,Community Trends,2018,,Friendship
370646,Overdoses,Community Trends,2019,,Friendship
370647,Overdoses,Community Trends,2020,,Friendship
370648,Overdoses,Community Trends,2021,,Friendship
370649,Overdoses,Community Trends,2022,,Friendship
370650,Overdoses,Community Trends,2023,,Friendship
370651,Overdoses,Community Trends,2018,,Garfield
370652,Overdoses,Community Trends,2019,,Garfield
370653,Overdoses,Community Trends,2020,6,Garfield
370654,Overdoses,Community Trends,2021,,Garfield
370655,Overdoses,Community Trends,2022,,Garfield
370656,Overdoses,Community Trends,2023,,Garfield
370657,Overdoses,Community Trends,2018,,Glen Hazel
370658,Overdoses,Community Trends,2019,,Glen Hazel
370659,Overdoses,Community Trends,2020,,Glen Hazel
370660,Overdoses,Community Trends,2021,,Glen Hazel
370661,Overdoses,Community Trends,2022,,Glen Hazel
370662,Overdoses,Community Trends,2023,,Glen Hazel
370663,Overdoses,Community Trends,2018,,Golden Triangle
370664,Overdoses,Community Trends,2019,,Golden Triangle
370665,Overdoses,Community Trends,2020,,Golden Triangle
370666,Overdoses,Community Trends,2021,,Golden Triangle
370667,Overdoses,Community Trends,2022,9,Golden Triangle
370668,Overdoses,Community Trends,2023,,Golden Triangle
370669,Overdoses,Community Trends,2018,,Greenfield
370670,Overdoses,Community Trends,2019,,Greenfield
370671,Overdoses,Community Trends,2020,,Greenfield
370672,Overdoses,Community Trends,2021,,Greenfield
370673,Overdoses,Community Trends,2022,,Greenfield
370674,Overdoses,Community Trends,2023,,Greenfield
370675,Overdoses,Community Trends,2018,,Hays
370676,Overdoses,Community Trends,2019,,Hays
370677,Overdoses,Community Trends,2020,,Hays
370678,Overdoses,Community Trends,2021,,Hays
370679,Overdoses,Community Trends,2022,,Hays
370680,Overdoses,Community Trends,2023,,Hays
370681,Overdoses,Community Trends,2018,7,Hazelwood
370682,Overdoses,Community Trends,2019,6,Hazelwood
370683,Overdoses,Community Trends,2020,10,Hazelwood
370684,Overdoses,Community Trends,2021,,Hazelwood
370685,Overdoses,Community Trends,2022,6,Hazelwood
370686,Overdoses,Community Trends,2023,,Hazelwood
370687,Overdoses,Community Trends,2018,,Highland Park
370688,Overdoses,Community Trends,2019,,Highland Park
370689,Overdoses,Community Trends,2020,,Highland Park
370690,Overdoses,Community Trends,2021,,Highland Park
370691,Overdoses,Community Trends,2022,,Highland Park
370692,Overdoses,Community Trends,2023,,Highland Park
370693,Overdoses,Community Trends,2018,,Homewood North
370694,Overdoses,Community Trends,2019,,Homewood North
370695,Overdoses,Community Trends,2020,,Homewood North
370696,Overdoses,Community Trends,2021,,Homewood North
370697,Overdoses,Community Trends,2022,,Homewood North
370698,Overdoses,Community Trends,2023,,Homewood North
370699,Overdoses,Community Trends,2018,,Homewood South
370700,Overdoses,Community Trends,2019,,Homewood South
370701,Overdoses,Community Trends,2020,,Homewood South
370702,Overdoses,Community Trends,2021,,Homewood South
370703,Overdoses,Community Trends,2022,,Homewood South
370704,Overdoses,Community Trends,2023,,Homewood South
370705,Overdoses,Community Trends,2018,,Homewood West
370706,Overdoses,Community Trends,2019,,Homewood West
370707,Overdoses,Community Trends,2020,,Homewood West
370708,Overdoses,Community Trends,2021,,Homewood West
370709,Overdoses,Community Trends,2022,,Homewood West
370710,Overdoses,Community Trends,2023,,Homewood West
370711,Overdoses,Community Trends,2018,,Knoxville
370712,Overdoses,Community Trends,2019,13,Knoxville
370713,Overdoses,Community Trends,2020,7,Knoxville
370714,Overdoses,Community Trends,2021,11,Knoxville
370715,Overdoses,Community Trends,2022,,Knoxville
370716,Overdoses,Community Trends,2023,,Knoxville
370717,Overdoses,Community Trends,2018,,Larimer
370718,Overdoses,Community Trends,2019,,Larimer
370719,Overdoses,Community Trends,2020,,Larimer
370720,Overdoses,Community Trends,2021,,Larimer
370721,Overdoses,Community Trends,2022,,Larimer
370722,Overdoses,Community Trends,2023,,Larimer
370723,Overdoses,Community Trends,2018,6,Lincoln Place
370724,Overdoses,Community Trends,2019,,Lincoln Place
370725,Overdoses,Community Trends,2020,,Lincoln Place
370726,Overdoses,Community Trends,2021,,Lincoln Place
370727,Overdoses,Community Trends,2022,,Lincoln Place
370728,Overdoses,Community Trends,2023,,Lincoln Place
370729,Overdoses,Community Trends,2018,,Lincoln-Lemington-Belmar
