STOP_ID,ROUTE,STOP_ROUTE,STOP_NAME,CLEVER_ID,LATITUDE,LONGITUDE,ALL_ROUTES,SHELTER,STOP_TYPE,CURRENT_STOP,FY19_AVG_ON,FY19_AVG_OFF,FY19_AVG_TOTAL,FY19_RANK,1806_ON,1806_OFF,1809_ON,1809_OFF,1811_ON,1811_OFF,1903_ON,1903_OFF,1906_ON,1906_OFF
P03090,P1,P03090_P1,SMITHFIELD ST AT SIXTH AVE,7280,40.44155,-79.997761,"39, 40, 44, 87, P1, P2, P68, P71",Envision Downtown,Bus,Yes,3408,1737,5145,1,3338.2,1706.2,3534.3,1800.3,3117.1,1541.7,3434.1,1809.6,3615.6,1829.3
P02325,P1,P02325_P1,LIBERTY AVE AT 10TH ST,7279,40.443739,-79.995153,"39, 40, 44, 87, P1, P2, P68, P71",Envision Downtown,Bus,Yes,877,2257,3134,2,893.6,2300.3,994.7,2429.7,882.7,2234.2,892.4,2269.3,719.5,2050.9
P03360,38,P03360_38,STANWIX ST AT FORBES AVE,44,40.440989,-80.003966,"36, 38",No Shelter,Bus,Yes,1245,828,2073,3,1313.4,904.9,1287.7,880.8,1235.1,764.1,1218.2,805.9,1169.9,783.6
P00930,16,P00930_16,7TH ST AT PENN AVE,20182,40.443298,-80.000402,"13, 16, 17",No Shelter,Bus,Yes,732,1140,1872,4,765.6,1158.2,779.1,1222.1,714.9,1105.7,718.7,1133.2,680.3,1081.8
P02550,91,P02550_91,LIBERTY AVE AT WOOD ST,46,40.442401,-79.999575,"28X, 77, 86, 88, 91",No Shelter,Bus,Yes,1310,431,1741,5,1313.9,451.5,1398.9,462.8,1306.7,433.3,1288.4,419.4,1243.1,389.5
E17302,P1,E17302_P1,EAST BUSWAY AT EAST LIBERTY,8161,40.459374,-79.923171,"P1, P17, P2, P3, P68, P71",PAAC,Busway,Yes,788,649,1437,6,771.6,680.3,842.8,693.9,732.5,619.8,834.3,666.0,758.1,583.2
TP7010,P1,TP7010_P1,LAYOVER-EAST BUSWAY SWISSVAL,19872,40.415074,-79.879265,"P1, P3, P71",No Shelter,Bus,Yes,729,685,1414,7,756.7,718.8,784.9,757.3,707.7,681.4,707.1,672.9,690.4,593.6
E17298,P1,E17298_P1,EAST BUSWAY AT WILKINSBURG S,16104,40.446128,-79.888401,"P1, P2, P3",PAAC,Busway,Yes,115,1202,1317,8,123.8,1239.9,118.3,1284.5,104.9,1150.4,118.7,1180.7,107.4,1152.1
P03690,51,P03690_51,WOOD ST AT SIXTH AVE,4832,40.441825,-79.999527,"39, 40, 41, 43, 44, 48, 51, 51L, Y1, Y45, Y46, Y47, Y49",No Shelter,Bus,Yes,561,752,1313,9,570.5,787.0,592.2,796.2,545.9,722.2,560.4,731.5,535.5,723.4
P02550,88,P02550_88,LIBERTY AVE AT WOOD ST,46,40.442401,-79.999575,"28X, 77, 86, 88, 91",No Shelter,Bus,Yes,901,397,1298,10,955.6,411.0,926.9,405.7,861.5,385.1,893.7,386.6,868.4,399.0
E17303,P1,E17303_P1,EAST BUSWAY AT EAST LIBERTY,8165,40.459399,-79.92286,"P1, P2, P3",No Shelter,Busway,Yes,405,830,1235,11,422.1,824.7,429.4,871.9,375.7,779.4,410.0,872.9,389.0,799.7
