UID,City,Place name,Official Station,Station number,Free bikes,Total bikes,Place type,Comment,Setpoint bikes,Bike racks,Show in maps,Battery voltage,Solar voltage,Terminal type,Online,Time stamp,Creation date
491219,Pittsburgh,Stolen,0,,34,64,Stolen bikes,,0,0,0,,,none,0,7/9/2021 8:21,
8904360,Pittsburgh,Ruskin Ave & Bigelow Blvd,0,,0,0,Standard place,,3,6,0,,,sign,0,9/28/2020 11:26,
30270142,Pittsburgh,CRASH BIKE 70625,0,,0,0,Standard place,,0,0,0,,,sign,0,5/26/2020 16:19,
42437626,Pittsburgh,BIKE 70095,0,,0,1,Individual bike,,0,0,1,,,,0,3/16/2021 17:45,
43844916,Pittsburgh,BIKE 70681,0,,0,0,Standard place,,0,0,0,,,unknown,0,4/21/2021 10:25,
44666334,Pittsburgh,BIKE 70582,0,,0,1,Individual bike,,0,0,1,,,,0,5/15/2021 18:28,
45253667,Pittsburgh,Point State Park ,0,,0,0,Standard place,,0,0,0,,,unknown,0,6/3/2021 13:19,
45962827,Pittsburgh,7th and penn,0,,0,0,Missed bikes,,0,0,0,,,unknown,0,5/31/2021 14:16,
47549098,Pittsburgh,Liberty Ave August Wilson Center,0,,0,0,Missed bikes,,0,0,0,,,none,0,6/19/2021 18:36,
47897486,Pittsburgh,4765 Forbes Ave,0,,0,0,Missed bikes,,0,0,0,,,unknown,0,6/24/2021 13:09,
47949910,Pittsburgh,Missing,0,,17,21,Missed bikes,,0,0,0,,,,0,7/15/2021 3:27,
48047312,Pittsburgh,BIKE 70804,0,,0,0,Standard place,,0,0,0,,,unknown,0,6/25/2021 14:53,
48248399,Pittsburgh,BIKE 70776,0,,0,0,Standard place,,0,0,0,,,unknown,0,6/27/2021 19:00,
48516316,Pittsburgh,BIKE 70691,0,,0,0,Standard place,Bike was taken from intoxicated man,,,,,,,,,
48837842,Pittsburgh,Atmore St 2300 block,0,,0,0,Individual bike,2317 Atmore St,,,,,,,,,
49009907,Pittsburgh,1201 Beechwood Blvd,0,,0,0,Standard place,,0,0,0,,,unknown,0,7/7/2021 10:10,
49026395,Pittsburgh,Fort Pitt Museum,0,,0,1,Individual bike,,0,0,0,,,unknown,0,7/7/2021 4:38,
49230923,Pittsburgh,Parking Garage,0,,0,0,Missed bikes,,0,0,0,,,none,0,7/12/2021 13:45,
49315674,Pittsburgh,BIKE 70810,0,,1,1,Individual bike,,0,0,1,,,,0,7/10/2021 12:44,
49344009,Pittsburgh,BIKE 70235 - Arlington IN FRONT OF SCHOOL,0,,0,0,Standard place,2500 Jonquil Way,,,,,,,,,
49412784,Pittsburgh,BIKE 70926,0,,1,1,Individual bike,,0,0,1,,,,0,7/11/2021 14:58,
49419735,Pittsburgh,BIKE 70744,0,,1,1,Individual bike,,0,0,1,,,,0,7/11/2021 17:31,
49459403,Pittsburgh,BIKE 70078,0,,1,1,Individual bike,,0,0,1,,,,0,7/12/2021 9:09,
49462188,Pittsburgh,830 E Warrington Ave,0,,0,0,Individual bike,,0,0,0,,,unknown,0,7/12/2021 9:32,
49501992,Pittsburgh,BIKE 70691,0,,1,1,Individual bike,,0,0,1,,,,0,7/12/2021 15:27,
49514201,Pittsburgh,BIKE 70820,0,,1,1,Individual bike,,0,0,1,,,,0,7/12/2021 18:53,
49514346,Pittsburgh,BIKE 70525,0,,1,1,Individual bike,,0,0,1,,,,0,7/12/2021 18:58,
49549612,Pittsburgh,recording_121833860,0,,1,1,Individual bike,,0,0,1,,,,0,7/15/2021 7:31,
49559589,Pittsburgh,BIKE 70907,0,,1,1,Individual bike,,0,0,1,,,,0,7/13/2021 10:23,
49577290,Pittsburgh,BIKE 70694,0,,1,1,Individual bike,,0,0,1,,,,0,7/13/2021 13:09,
49586439,Pittsburgh,Cedar Ave Giant Eagle,0,,0,0,Individual bike,,0,0,1,,,unknown,0,7/14/2021 9:13,
49596952,Pittsburgh,BIKE 70864,0,,0,1,Individual bike,,0,0,1,,,,0,7/13/2021 17:10,
49597303,Pittsburgh,BIKE 71216,0,,1,1,Individual bike,,0,0,1,,,,0,7/13/2021 17:19,
49599269,Pittsburgh,BIKE 70952,0,,1,1,Individual bike,,0,0,1,,,,0,7/13/2021 18:11,
49599642,Pittsburgh,recording_121812530,0,,1,1,Individual bike,,0,0,1,,,,0,7/13/2021 18:23,
49601780,Pittsburgh,BIKE 70693,0,,1,1,Individual bike,,0,0,1,,,,0,7/13/2021 19:48,
49602595,Pittsburgh,BIKE 70055,0,,0,1,Individual bike,,0,0,1,,,,0,7/13/2021 20:16,
49602802,Pittsburgh,BIKE 70951,0,,0,1,Individual bike,,0,0,1,,,,0,7/13/2021 20:25,
49603477,Pittsburgh,BIKE 70972,0,,1,1,Individual bike,,0,0,1,,,,0,7/13/2021 20:58,
49604121,Pittsburgh,BIKE 70849,0,,1,1,Individual bike,,0,0,1,,,,0,7/13/2021 21:47,
49606883,Pittsburgh,BIKE 71175,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 0:21,
49607033,Pittsburgh,BIKE 70953,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 0:20,
49623267,Pittsburgh,BIKE 70703,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 6:15,
49623417,Pittsburgh,BIKE 71169,0,,1,1,Individual bike,,0,0,1,,,,0,7/15/2021 7:13,
49624758,Pittsburgh,BIKE 70955,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 6:44,
49626788,Pittsburgh,BIKE 70609,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 7:21,
49636930,Pittsburgh,70932,0,,1,1,Individual bike,,0,0,1,,,unknown,0,7/14/2021 10:02,
49642942,Pittsburgh,BIKE 70954,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 11:13,
49651487,Pittsburgh,BIKE 71181,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 12:44,
49663751,Pittsburgh,Unknown,0,,1,1,Individual bike,I locked it to railing to relieve myself quickly so no one took it,,,,,,,,,
49665324,Pittsburgh,Charles J. Lieberth Pedestrian walkway,0,,0,0,Individual bike,,0,0,1,,,unknown,0,7/14/2021 16:00,
49674518,Pittsburgh,BIKE 70243 Rivers Casino,0,,0,1,Individual bike,,0,0,1,,,unknown,0,7/14/2021 20:31,
49674831,Pittsburgh,BIKE 71217,0,,1,1,Individual bike,,0,0,1,,,,0,7/14/2021 20:44,
